time/time_elapsed,train/ent_coef,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,time/total_timesteps
23,0.8547542095184326,699,0.0003,-0.7870262265205383,-4.673177719116211,4,4.82003475,34,200.0,0.4862861931324005,800
45,0.67381751537323,1499,0.0003,-1.9887803792953491,-8.767383575439453,8,1.6401118749999997,35,200.0,0.5140880346298218,1600
68,0.5304096937179565,2299,0.0003,-3.18015193939209,-12.155747413635254,12,3.1880501666666667,35,200.0,0.08171389997005463,2400
90,0.41744112968444824,3099,0.0003,-4.398500442504883,-14.404902458190918,16,2.4321254375,35,200.0,0.09351283311843872,3200
112,0.3285936117172241,3899,0.0003,-5.541855812072754,-15.959782600402832,20,1.1652403,35,200.0,0.09936872869729996,4000
132,0.25897687673568726,4699,0.0003,-6.679627418518066,-16.729206085205078,24,1.4605344999999998,36,200.0,1.1784173250198364,4800
154,0.20467108488082886,5499,0.0003,-7.699929714202881,-17.164918899536133,28,0.6404100357142857,36,200.0,0.13021188974380493,5600
175,0.1619846224784851,6299,0.0003,-8.54455852508545,-17.218610763549805,32,0.9624841249999999,36,200.0,1.1055328845977783,6400
195,0.12835437059402466,7099,0.0003,-9.24783706665039,-16.75615882873535,36,-0.11651391666666673,36,200.0,0.14313644170761108,7200
217,0.10193794965744019,7899,0.0003,-9.812373161315918,-16.32601547241211,40,0.02069952500000003,36,200.0,2.9320101737976074,8000
239,0.08140749484300613,8699,0.0003,-10.31110668182373,-15.725811004638672,44,0.15334625000000002,36,200.0,0.17647221684455872,8800
262,0.06512865424156189,9499,0.0003,-10.874256134033203,-14.651226043701172,48,-0.04544593749999996,36,200.0,1.524341106414795,9600
283,0.052275385707616806,10299,0.0003,-9.718619346618652,-14.584875106811523,52,3.3798777884615387,36,200.0,3.970879077911377,10400
305,0.04233459383249283,11099,0.0003,-8.96577262878418,-13.934539794921875,56,5.021187732142857,36,200.0,0.17033502459526062,11200
324,0.034065790474414825,11899,0.0003,-9.812904357910156,-13.243366241455078,60,5.597903650000001,36,200.0,0.6881700754165649,12000
344,0.027216102927923203,12699,0.0003,-11.365562438964844,-12.710890769958496,64,6.618457171875001,37,200.0,1.5009562969207764,12800
364,0.02183099463582039,13499,0.0003,-9.923321723937988,-12.295741081237793,68,6.939942676470589,37,200.0,0.6096646785736084,13600
383,0.01765066757798195,14299,0.0003,-7.817497253417969,-11.52312183380127,72,7.790847819444445,37,200.0,0.15069665014743805,14400
402,0.014340938068926334,15099,0.0003,-8.780155181884766,-11.10628604888916,76,8.946916039473685,37,200.0,0.13372540473937988,15200
422,0.011856847442686558,15899,0.0003,-6.026320457458496,-11.141057014465332,80,10.6167186875,37,200.0,1.690994381904602,16000
442,0.009904575534164906,16699,0.0003,-4.4958295822143555,-10.712759017944336,84,11.47113444047619,38,200.0,0.853404700756073,16800
461,0.008417250588536263,17499,0.0003,-3.493807077407837,-10.174603462219238,88,12.469164625000003,38,200.0,0.1288568377494812,17600
481,0.007285808213055134,18299,0.0003,-4.270876407623291,-9.754359245300293,92,13.241073793478266,38,200.0,1.1909507513046265,18400
500,0.006323144771158695,19099,0.0003,-3.962214469909668,-10.25623893737793,96,13.98571528125,38,200.0,0.8037718534469604,19200
519,0.0055674281902611256,19899,0.0003,-0.678269624710083,-9.257591247558594,100,14.578245489999999,38,200.0,3.483217477798462,20000
538,0.005141160916537046,20699,0.0003,0.8350589275360107,-9.510201454162598,104,16.383188230000002,38,200.0,1.8850443363189697,20800
558,0.005448438692837954,21499,0.0003,-1.8015276193618774,-9.650863647460938,108,18.40509561,38,200.0,0.1081230491399765,21600
577,0.00589084904640913,22299,0.0003,1.8730745315551758,-9.297698974609375,112,19.10024021,38,200.0,0.15798187255859375,22400
597,0.005365283228456974,23099,0.0003,-0.5370021462440491,-9.661386489868164,116,20.738483189999997,38,200.0,0.3617500960826874,23200
616,0.005048604682087898,23899,0.0003,-1.4180030822753906,-9.40723991394043,120,23.18470509,38,200.0,1.1485674381256104,24000
636,0.004994635470211506,24699,0.0003,0.518476128578186,-8.90688705444336,124,25.29051023,38,200.0,0.2486954629421234,24800
656,0.005647015292197466,25499,0.0003,0.6661255955696106,-8.97845458984375,128,28.809858190000003,38,200.0,1.3419153690338135,25600
671,0.006054253783077002,26099,0.0003,0.21685460209846497,-9.257871627807617,132,31.22701259,38,198.0,0.7970322370529175,26200
687,0.006632070988416672,26699,0.0003,1.9819974899291992,-9.678545951843262,136,33.83777108,39,196.0,0.8091301321983337,26800
706,0.007669459097087383,27499,0.0003,-0.4641014039516449,-10.561368942260742,140,36.74323365,39,196.0,3.5833637714385986,27600
722,0.008101873099803925,28099,0.0003,0.6948023438453674,-10.564772605895996,144,39.31873434,39,194.0,0.18933337926864624,28200
733,0.008741586469113827,28499,0.0003,-0.6954216361045837,-10.190704345703125,148,41.163916220000004,39,190.0,0.2055477350950241,28600
