time/time_elapsed,train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,train/ent_coef,train/n_updates,time/episodes,train/actor_loss,rollout/ep_rew_mean
37,0.0003,-2.869265079498291,500.0,2000,53,0.027035828679800034,0.5657492876052856,1899,4,-14.240093231201172,0.0091205
74,0.0003,-5.905632972717285,500.0,4000,53,0.035983070731163025,0.31062647700309753,3899,8,-19.48206329345703,0.0013557500000000002
116,0.0003,-8.785224914550781,500.0,6000,51,0.0473848357796669,0.17096970975399017,5899,12,-21.18631935119629,-0.0053697499999999995
157,0.0003,-11.42007827758789,500.0,8000,50,0.05308850109577179,0.09438761323690414,7899,16,-20.69447898864746,-0.0034591874999999996
199,0.0003,-12.394065856933594,500.0,10000,50,0.041787438094615936,0.05261959880590439,9899,20,-19.609914779663086,-0.0116763
237,0.0003,-14.144287109375,500.0,12000,50,1.2322392463684082,0.02965378202497959,11899,24,-17.930604934692383,0.01172820833333333
276,0.0003,-9.948051452636719,500.0,14000,50,0.03105691820383072,0.01758594810962677,13899,28,-16.788509368896484,-0.0691172142857143
314,0.0003,-7.595857620239258,500.0,16000,50,0.78046715259552,0.011041799560189247,15899,32,-15.551380157470703,-0.30722096875
353,0.0003,-2.9672393798828125,500.0,18000,50,0.02009757235646248,0.00689905509352684,17899,36,-14.664770126342773,-0.3074911111111111
392,0.0003,-1.4288138151168823,500.0,20000,50,0.02729470655322075,0.005177265033125877,19899,40,-13.35394287109375,-0.3770338
430,0.0003,-1.6414530277252197,500.0,22000,51,0.6867022514343262,0.004435674287378788,21899,44,-12.361772537231445,-0.3849594318181818
469,0.0003,-2.3359322547912598,500.0,24000,51,0.018320120871067047,0.0036308153066784143,23899,48,-11.310457229614258,-0.3160452708333333
507,0.0003,0.7123117446899414,500.0,26000,51,0.9939654469490051,0.003106224350631237,25899,52,-10.230535507202148,-0.28752940384615383
547,0.0003,5.465529441833496,500.0,28000,51,0.3180011510848999,0.0030549694783985615,27899,56,-9.391739845275879,-0.268993
585,0.0003,1.7842568159103394,500.0,30000,51,0.012692190706729889,0.003925112076103687,29899,60,-8.621743202209473,-0.2540816833333333
624,0.0003,-0.0963512659072876,500.0,32000,51,0.02018105983734131,0.0031923914793878794,31899,64,-7.916921138763428,-0.250566125
663,0.0003,-2.36714243888855,500.0,34000,51,0.22139021754264832,0.0029686971101909876,33899,68,-7.19896125793457,-0.23847220588235296
701,0.0003,-1.3071281909942627,500.0,36000,51,0.15021032094955444,0.0026368179824203253,35899,72,-6.579290390014648,-0.23162684722222224
740,0.0003,-0.7944468855857849,500.0,38000,51,0.006972068455070257,0.002346271416172385,37899,76,-6.019827842712402,-0.26179227631578944
780,0.0003,1.0207494497299194,500.0,40000,51,0.08333005756139755,0.0024875474628061056,39899,80,-5.416250705718994,-0.2732966375
821,0.0003,-0.7117664813995361,500.0,42000,51,0.004051036201417446,0.0020608818158507347,41899,84,-4.918433666229248,-0.27069898809523807
862,0.0003,-0.3686071038246155,500.0,44000,51,0.0679503083229065,0.00156905606854707,43899,88,-4.455146789550781,-0.2581777045454545
901,0.0003,-2.251375913619995,500.0,46000,51,0.02041841857135296,0.0015075892442837358,45899,92,-3.9995901584625244,-0.24590384782608696
942,0.0003,0.8058386445045471,500.0,48000,50,0.045589376240968704,0.0013072298606857657,47899,96,-3.572246551513672,-0.23756052083333334
982,0.0003,2.3081064224243164,500.0,50000,50,0.001306468853726983,0.0013251099735498428,49899,100,-3.2472763061523438,-0.22953168000000002
1021,0.0003,-2.3354082107543945,500.0,52000,50,0.0013657843228429556,0.0011462037218734622,51899,104,-2.9186172485351562,-0.23211116
1063,0.0003,-1.7789130210876465,500.0,54000,50,0.02657213620841503,0.0009810463525354862,53899,108,-2.6495885848999023,-0.24647615
1107,0.0003,-2.920879602432251,500.0,56000,50,0.0005787214613519609,0.0008316211751662195,55899,112,-2.4091076850891113,-0.25010729
1147,0.0003,3.096062183380127,500.0,58000,50,0.017865881323814392,0.0007680445560254157,57899,116,-2.1899733543395996,-0.25092181
