time/time_elapsed,time/fps,time/total_timesteps,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,rollout/ep_len_mean,train/ent_coef
36,54,2000,-0.2592492699623108,101799,0.0003,9.968080121325329e-06,0.61408375,6.572446823120117,4,500.0,0.00017464690608903766
72,55,4000,-0.23876464366912842,103799,0.0003,1.0627201845636591e-05,0.562154375,3.1487784385681152,8,500.0,0.0002174645778723061
107,55,6000,-0.22597959637641907,105799,0.0003,1.347478337265784e-05,0.59827625,-0.03262966871261597,12,500.0,0.0002693988790269941
138,55,7741,-0.21770735085010529,107540,0.0003,0.00023785530356690288,0.7365111875,0.08683964610099792,16,483.8125,0.00023674816475249827
151,55,8366,-0.22057607769966125,108165,0.0003,2.6846008040593006e-05,0.9182919500000001,4.728874206542969,20,418.3,0.0003222975938115269
162,54,8930,-0.2265247106552124,108729,0.0003,0.00011196530977031216,1.0295245416666667,10.007808685302734,24,372.0833333333333,0.00038893529563210905
174,54,9493,-0.22378981113433838,109292,0.0003,6.66426494717598e-05,1.0798926071428572,5.223016262054443,28,339.0357142857143,0.00043042408651672304
187,54,10145,-0.23558679223060608,109944,0.0003,8.081037958618253e-05,1.0656606562500002,1.7486631870269775,32,317.03125,0.0004819884488824755
198,53,10662,-0.24601447582244873,110461,0.0003,0.0004103460814803839,1.0747214166666668,4.793445587158203,36,296.1666666666667,0.0005080227856524289
209,53,11186,-0.23625609278678894,110985,0.0003,6.946039502508938e-05,1.0798082,-0.22778397798538208,40,279.65,0.0005375436739996076
220,52,11679,-0.2518380284309387,111478,0.0003,0.0006710593006573617,1.0853661136363637,3.1968185901641846,44,265.4318181818182,0.0005818208446726203
235,52,12439,-0.2637776732444763,112238,0.0003,0.00021591642871499062,1.0988615833333333,1.2764794826507568,48,259.1458333333333,0.0006891062366776168
251,52,13267,-0.2541508674621582,113066,0.0003,0.00013695494271814823,1.0786535961538464,0.6422303915023804,52,255.1346153846154,0.000764078984502703
263,52,13795,-0.27802035212516785,113594,0.0003,0.0001408557582180947,1.094996625,-0.5709063410758972,56,246.33928571428572,0.0007973439060151577
274,52,14279,-0.27435898780822754,114078,0.0003,9.778524690773338e-05,1.1246751333333334,-1.3231728076934814,60,237.98333333333332,0.0008368254639208317
284,51,14784,-0.2973220944404602,114583,0.0003,0.0005440692766569555,1.148014203125,1.4206836223602295,64,231.0,0.0009125509532168508
298,51,15328,-0.3006925582885742,115127,0.0003,0.0001432131539331749,1.1680759558823528,-1.202054500579834,68,225.41176470588235,0.0010035678278654814
310,51,15836,-0.28902047872543335,115635,0.0003,0.00020527534070424736,1.1856142222222223,-1.4788033962249756,72,219.94444444444446,0.0010701363207772374
332,51,17000,-0.2988537549972534,116799,0.0003,0.0002184333570767194,1.1498681052631579,-0.0114821195602417,76,223.68421052631578,0.0010155286872759461
352,51,18000,-0.3271995782852173,117799,0.0003,0.00017293065320700407,1.138421,0.20403707027435303,80,225.0,0.0009354432113468647
363,50,18500,-0.32718944549560547,118299,0.0003,0.0001913603045977652,1.1547763452380952,-0.3473343849182129,84,220.23809523809524,0.0009384937584400177
374,50,19000,-0.34693509340286255,118799,0.0003,0.00017613012460060418,1.1742869772727274,-0.769737958908081,88,215.9090909090909,0.0009666069527156651
385,50,19500,-0.34771645069122314,119299,0.0003,0.0003259650547988713,1.1845939673913042,0.37594693899154663,92,211.95652173913044,0.0010211950866505504
395,50,20000,-0.37710312008857727,119799,0.0003,0.00019254867220297456,1.1987204895833334,1.5938491821289062,96,208.33333333333334,0.0010776721173897386
406,50,20500,-0.34005558490753174,120299,0.0003,0.00018089677905663848,1.22074325,-1.4696228504180908,100,205.0,0.0011468128068372607
418,50,21000,-0.30805906653404236,120799,0.0003,0.00018183790962211788,1.26449741,0.3323924243450165,104,190.0,0.0012221160577610135
429,50,21500,-0.38775670528411865,121299,0.0003,0.0012340706307440996,1.3098025999999998,2.782496929168701,108,175.0,0.001297804992645979
441,49,22000,-0.37184232473373413,121799,0.0003,0.0001656648819334805,1.3517319300000004,-0.6217490434646606,112,160.0,0.0013967256527394056
452,49,22500,-0.4013203978538513,122299,0.0003,0.00021801484399475157,1.3752773599999997,-0.8445123434066772,116,147.59,0.0014596019173040986
464,49,23000,-0.38926994800567627,122799,0.0003,0.0001315778645221144,1.3784164199999998,1.8610774278640747,120,146.34,0.0015114611014723778
475,49,23500,-0.4073789715766907,123299,0.0003,0.0001476371253374964,1.38382654,0.7091492414474487,124,145.7,0.0015647202963009477
486,49,24000,-0.38641107082366943,123799,0.0003,0.00016749452333897352,1.4000959700000002,0.11012551188468933,128,145.07,0.0015800861874595284
497,49,24500,-0.42085254192352295,124299,0.0003,0.00160570302978158,1.4298640500000002,1.0924792289733887,132,143.55,0.0016244801227003336
508,49,25000,-0.39322492480278015,124799,0.0003,0.000691243214532733,1.45165515,-2.374230146408081,136,143.38,0.0016541442601010203
520,49,25500,-0.4151093065738678,125299,0.0003,0.0001530080335214734,1.4759307599999998,-2.1411476135253906,140,143.14,0.0016624288400635123
531,48,26000,-0.4432442784309387,125799,0.0003,0.001641020062379539,1.496433,1.7001205682754517,144,143.21,0.001685469294898212
542,48,26500,-0.442656010389328,126299,0.0003,0.0006712837493978441,1.5222690700000001,0.8691704869270325,148,140.61,0.0016901541966944933
553,48,27000,-0.4311341643333435,126799,0.0003,0.00011643017205642536,1.55629062,0.4190977215766907,152,137.33,0.0017172099323943257
564,48,27500,-0.4550819396972656,127299,0.0003,0.0014885313576087356,1.5740782500000001,3.5288918018341064,156,137.05,0.0017391708679497242
575,48,28000,-0.4501647353172302,127799,0.0003,0.0017518687527626753,1.5802269200000003,-1.9202957153320312,160,137.21,0.0017220814479514956
586,48,28500,-0.44085562229156494,128299,0.0003,0.00010063424269901589,1.5918657000000003,0.9353834390640259,164,137.16,0.001683652400970459
597,48,29000,-0.47997230291366577,128799,0.0003,0.0024542089086025953,1.6056198799999999,1.6846990585327148,168,136.72,0.0016506420215591788
608,48,29500,-0.4650304615497589,129299,0.0003,9.348639287054539e-05,1.61492267,3.1626672744750977,172,136.64,0.001622506184503436
620,48,30000,-0.45614656805992126,129799,0.0003,0.00010596912761684507,1.6621145999999998,-0.44741320610046387,176,130.0,0.0016017623711377382
631,48,30500,-0.46194344758987427,130299,0.0003,0.0015005620662122965,1.6960298299999998,-1.6189000606536865,180,125.0,0.0016159809892997146
643,48,31000,-0.45351728796958923,130799,0.0003,0.0018068344797939062,1.70466163,0.14213073253631592,184,125.0,0.0016170809976756573
655,48,31500,-0.4944186806678772,131299,0.0003,0.00012195139424875379,1.7131811099999996,2.768557548522949,188,125.0,0.0015791408950462937
667,47,32000,-0.48848727345466614,131799,0.0003,0.0016931144054979086,1.7257259599999997,1.2593622207641602,192,125.0,0.0015578807797282934
678,47,32500,-0.47498661279678345,132299,0.0003,0.00014237994037102908,1.73234771,-0.4414781928062439,196,125.0,0.001540127326734364
690,47,33000,-0.48068058490753174,132799,0.0003,9.416452667210251e-05,1.72649554,-1.4456087350845337,200,125.0,0.00152217922732234
701,47,33500,-0.4923044741153717,133299,0.0003,0.00020466590649448335,1.72557783,-1.6155794858932495,204,125.0,0.0014685399364680052
713,47,34000,-0.4769192636013031,133799,0.0003,0.00014377408660948277,1.7286764199999995,1.4456943273544312,208,125.0,0.0014671869575977325
724,47,34500,-0.492231547832489,134299,0.0003,8.9986679085996e-05,1.73318788,-0.3969641923904419,212,125.0,0.0014571761712431908
736,47,35000,-0.503573477268219,134799,0.0003,0.00039977789856493473,1.7378393,1.820220947265625,216,125.0,0.001450337702408433
747,47,35500,-0.5127869844436646,135299,0.0003,0.0001209673355333507,1.7444594900000003,3.313927412033081,220,125.0,0.0014163173036649823
759,47,36000,-0.49441611766815186,135799,0.0003,0.0005797180347144604,1.74330916,-2.089580774307251,224,125.0,0.001397446496412158
