time/episodes,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/critic_loss,train/actor_loss,time/fps,train/ent_coef,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,time/total_timesteps
4,1300.0,91,0.0003,0.03453172743320465,-18.345176696777344,56,0.2182459533214569,5099,-151.36058275000002,-7.378538608551025,5200
8,1300.0,182,0.0003,0.01837611012160778,-16.101165771484375,57,0.047620054334402084,10299,-103.48736937499999,-12.718338966369629,10400
12,1191.6666666666667,250,0.0003,0.031854938715696335,-13.586546897888184,57,0.016165513545274734,14199,-61.45266291666666,-11.41250228881836,14300
16,1125.0,314,0.0003,0.02828754298388958,-11.581829071044922,57,0.006472131237387657,17899,-35.178192125,-6.325188636779785,18000
20,1040.0,365,0.0003,0.029682397842407227,-10.509712219238281,56,0.004072271753102541,20699,-20.6452582,-1.902141809463501,20800
24,1083.3333333333333,456,0.0003,0.038906801491975784,-8.66224479675293,56,0.003664084943011403,25899,-19.563139250000003,-0.4134918749332428,26000
28,1114.2857142857142,547,0.0003,0.04459456354379654,-7.193665504455566,56,0.003399571403861046,31099,-11.797751214285714,-0.20682744681835175,31200
32,1093.96875,617,0.0003,0.048763006925582886,-6.6950860023498535,56,0.00383172114379704,34906,-3.1983595937500002,1.3491861820220947,35007
36,1076.3333333333333,688,0.0003,0.05059272050857544,-5.571058750152588,56,0.003933151252567768,38647,-0.4158448333333335,0.21711337566375732,38748
40,1036.35,735,0.0003,0.03429047018289566,-5.175920486450195,56,0.0036854837089776993,41353,4.149587549999999,-1.4547452926635742,41454
44,1004.5454545454545,783,0.0003,0.2002277374267578,-5.558993339538574,56,0.0033209582325071096,44099,9.066387068181818,3.398538112640381,44200
48,975.0,829,0.0003,1.418799638748169,-4.257756233215332,56,0.003930410370230675,46699,11.923293541666668,0.3650406002998352,46800
52,950.0,875,0.0003,0.09133833646774292,-5.533677101135254,56,0.004164132289588451,49299,14.461223153846154,-0.39251214265823364,49400
56,928.5714285714286,921,0.0003,0.08495360612869263,-5.1556291580200195,56,0.00407059770077467,51899,18.19377735714286,-0.6676076650619507,52000
60,931.6666666666666,989,0.0003,0.10481584817171097,-5.943160057067871,56,0.0044494504109025,55799,17.75304655,0.8951370120048523,55900
64,930.046875,1052,0.0003,0.3162917494773865,-7.258920669555664,56,0.004101113881915808,59422,24.794067343749997,0.8958067297935486,59523
68,935.0588235294117,1123,0.0003,0.09434211254119873,-4.393520355224609,56,0.003862852929159999,63483,24.924599632352937,-0.06665641069412231,63584
72,915.2361111111111,1164,0.0003,0.19311025738716125,-4.821351051330566,56,0.004172802437096834,65796,27.119417180555555,-1.112626075744629,65897
76,898.1184210526316,1206,0.0003,0.08456962555646896,-5.175080299377441,56,0.0037888663355261087,68156,30.347249578947366,-2.8642890453338623,68257
80,889.6,1258,0.0003,0.1050502210855484,-6.893792152404785,56,0.004118199925869703,71067,32.7561951375,2.0122196674346924,71168
84,872.3690476190476,1296,0.0003,0.11180011928081512,-7.241213798522949,56,0.0037236232310533524,73178,34.1123201547619,-0.26213163137435913,73279
88,855.5,1332,0.0003,0.12329906225204468,-6.598235130310059,56,0.0037669718731194735,75183,36.65549279545455,-0.689170241355896,75284
92,844.5760869565217,1375,0.0003,0.12025763094425201,-6.7614288330078125,56,0.004306308459490538,77600,41.75410151086957,-0.026103392243385315,77701
96,852.2916666666666,1447,0.0003,0.09369395673274994,-6.631441116333008,56,0.004941399209201336,81719,42.527893666666664,-1.0592193603515625,81820
100,832.0,1472,0.0003,1.0442532300949097,-6.54653263092041,56,0.0052220202051103115,83099,42.424926080000006,0.8829476833343506,83200
104,801.92,1511,0.0003,0.16194763779640198,-7.516627311706543,56,0.005907400976866484,85291,53.85000063,-0.07143831253051758,85392
108,780.0,1568,0.0003,0.13025589287281036,-9.372713088989258,56,0.005857458803802729,88299,57.380738650000005,1.195183277130127,88400
112,760.31,1603,0.0003,0.22360318899154663,-7.8104448318481445,56,0.005617915187031031,90230,61.992379,2.1130504608154297,90331
116,743.0,1638,0.0003,0.09441788494586945,-6.505051612854004,56,0.005535324104130268,92199,63.70752318000001,-0.6524050235748291,92300
120,741.0,1685,0.0003,0.11994405090808868,-8.049535751342773,56,0.005825151689350605,94799,63.980917579999996,-1.2331751585006714,94900
124,713.76,1729,0.0003,0.1313929557800293,-8.724676132202148,56,0.006225199904292822,97275,68.77014583,0.41089755296707153,97376
128,676.0,1755,0.0003,0.2647848129272461,-8.31321907043457,56,0.006288422271609306,98699,69.23335273000002,1.8246382474899292,98800
