time/time_elapsed,train/critic_loss,train/actor_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,train/ent_coef,time/episodes,rollout/ep_rew_mean,train/n_updates,time/fps
43,0.6544983386993408,8.178009033203125,2600,0.0003,650.0,-2.4363269805908203,0.49459901452064514,4,-915.9891144999999,2499,60
110,0.15759983658790588,4.288263320922852,6500,0.0003,812.5,-4.838864326477051,0.16113030910491943,8,-651.447920375,6399,58
198,0.08326677978038788,4.7145233154296875,11700,0.0003,975.0,-5.629352569580078,0.03751030191779137,12,-518.9514184999999,11599,58
287,0.017500214278697968,4.78785514831543,16900,0.0003,1056.25,-1.329779028892517,0.010991238057613373,16,-434.8276114375,16799,58
354,0.013053199276328087,4.669622421264648,20760,0.0003,1038.0,0.048483192920684814,0.009444204159080982,20,-378.24753050000004,20659,58
423,0.014487432315945625,4.578668117523193,24700,0.0003,1029.1666666666667,-0.06298160552978516,0.008808971382677555,24,-341.39453162499996,24599,58
513,0.01068047620356083,3.7893216609954834,29900,0.0003,1067.857142857143,0.7375535368919373,0.007487975060939789,28,-312.3026016785714,29799,58
581,0.014065638184547424,2.664612054824829,33748,0.0003,1054.625,0.09012821316719055,0.00929969735443592,32,-282.51883865625,33647,58
649,0.02325153350830078,2.904618740081787,37638,0.0003,1045.5,0.7201105356216431,0.009107361547648907,36,-266.77632869444443,37537,57
719,0.012010393664240837,2.384782552719116,41600,0.0003,1040.0,0.3935278356075287,0.007352204993367195,40,-254.51366595,41499,57
785,0.019402552396059036,2.3729403018951416,45368,0.0003,1031.090909090909,0.5463829040527344,0.007662864867597818,44,-238.8259578409091,45267,57
827,0.13053390383720398,2.015068531036377,47747,0.0003,994.7291666666666,-0.07777547836303711,0.0074864826165139675,48,-223.12524095833336,47646,57
879,0.015301268547773361,2.039492607116699,50679,0.0003,974.5961538461538,-0.5754262208938599,0.007261460646986961,52,-211.4670088076923,50578,57
947,0.055912286043167114,1.676090955734253,54585,0.0003,974.7321428571429,0.20009469985961914,0.007257013116031885,56,-202.58036151785714,54484,57
1016,0.02098660171031952,1.801559329032898,58500,0.0003,975.0,-0.7875039577484131,0.007508483715355396,60,-192.78030086666664,58399,57
1102,0.2222909927368164,0.09286076575517654,63441,0.0003,991.265625,-0.009015381336212158,0.008126632310450077,64,-183.19959971875,63340,57
1152,0.022119266912341118,0.17199140787124634,66300,0.0003,975.0,0.3230234384536743,0.008698965422809124,68,-176.58508688235293,66199,57
1216,0.02285507321357727,0.9822502136230469,69867,0.0003,970.375,-0.7634022235870361,0.008338813669979572,72,-168.23985252777777,69766,57
1268,0.024464886635541916,-0.09867934882640839,72800,0.0003,957.8947368421053,-0.06333194673061371,0.008411084301769733,76,-160.75568759210526,72699,57
1333,0.18316763639450073,0.13449618220329285,76492,0.0003,956.15,-0.8377173542976379,0.008361613377928734,80,-153.0093601,76391,57
1383,0.026811527088284492,-0.44536489248275757,79300,0.0003,944.047619047619,-0.10965929925441742,0.00957555789500475,84,-147.12100075,79199,57
1429,0.03227350115776062,-0.5233131647109985,81900,0.0003,930.6818181818181,-0.9689782857894897,0.00900824274867773,88,-142.12731148863634,81799,57
1476,0.019152892753481865,-1.0044794082641602,84500,0.0003,918.4782608695652,0.4238535463809967,0.008839860558509827,92,-136.52872532608694,84399,57
1521,0.04142795503139496,-1.1848058700561523,87100,0.0003,907.2916666666666,0.5475229024887085,0.009440944530069828,96,-131.45535644791667,86999,57
1568,0.031149964779615402,-1.910954236984253,89700,0.0003,897.0,0.49096906185150146,0.00974652823060751,100,-126.00164261,89599,57
1615,0.03402676060795784,-1.9108808040618896,92300,0.0003,897.0,0.03656257688999176,0.010814696550369263,104,-88.83999236,92199,57
1662,0.026812683790922165,-1.2056281566619873,94900,0.0003,884.0,-0.5403790473937988,0.01054376270622015,108,-71.54287849,94799,57
1709,0.028758198022842407,-2.6458919048309326,97500,0.0003,858.0,-0.09919201582670212,0.011093629524111748,112,-59.67979483000001,97399,57
1743,0.03302306309342384,-3.2801685333251953,99395,0.0003,824.95,-0.0881887897849083,0.011044668965041637,116,-50.80609275999999,99294,57
