time/time_elapsed,time/fps,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps
47,54,0.4931698441505432,2499,0.41998690366744995,-2.5011730194091797,-724.98695125,4.400557518005371,4,0.0003,650.0,2600
141,55,0.11065638810396194,7699,0.11300483345985413,-5.896467208862305,-619.9189348750001,2.5886831283569336,8,0.0003,975.0,7800
239,54,0.027802007272839546,12899,0.06686553359031677,-4.663668632507324,-478.26578950000004,2.3509790897369385,12,0.0003,1083.3333333333333,13000
345,52,0.008312688209116459,18099,0.015359957702457905,-1.6625691652297974,-407.90749675,3.1771316528320312,16,0.0003,1137.5,18200
449,52,0.007491657510399818,23299,0.013814978301525116,0.7410418391227722,-365.12597700000003,3.7126352787017822,20,0.0003,1170.0,23400
555,51,0.007924770005047321,28499,0.014582248404622078,-0.4282413721084595,-327.89545775,3.8284387588500977,24,0.0003,1191.6666666666667,28600
612,50,0.007884880527853966,31099,0.010785904712975025,0.35223478078842163,-292.3672644642857,4.108407974243164,28,0.0003,1114.2857142857142,31200
682,50,0.008068570867180824,34476,0.014455266296863556,0.12024211883544922,-272.76117640625,4.171835899353027,32,0.0003,1080.53125,34577
740,50,0.007465197704732418,37331,0.015722014009952545,-0.2765266001224518,-255.44385805555552,4.240354537963867,36,0.0003,1039.7777777777778,37432
821,50,0.007755517493933439,41499,0.015081215649843216,-0.013045020401477814,-241.90786792499998,4.2487640380859375,40,0.0003,1040.0,41600
924,50,0.007121001370251179,46699,0.011409370228648186,-0.1337759643793106,-233.9566725,4.405450820922852,44,0.0003,1063.6363636363637,46800
1025,50,0.006992758717387915,51899,0.06795629858970642,0.4684714376926422,-224.81670387500003,4.21636438369751,48,0.0003,1083.3333333333333,52000
1124,50,0.007100074551999569,57099,0.009565481916069984,0.1262822300195694,-217.55100463461542,4.1227946281433105,52,0.0003,1100.0,57200
1213,50,0.006763380486518145,61752,0.009320296347141266,-0.9107481837272644,-211.82925198214284,3.9993863105773926,56,0.0003,1104.517857142857,61853
1273,50,0.0065368604846298695,64618,0.013024223037064075,-0.4680415987968445,-203.0782255,4.019006729125977,60,0.0003,1078.65,64719
1358,50,0.00660109193995595,68799,0.011502163484692574,-2.137058734893799,-197.606408203125,3.5731360912323,64,0.0003,1076.5625,68900
1436,50,0.006282047834247351,72438,0.01196461170911789,0.5473204851150513,-188.49968586764706,3.001882553100586,68,0.0003,1066.75,72539
1514,50,0.006063906475901604,76599,0.017179623246192932,0.12354153394699097,-178.89191838888888,2.9130477905273438,72,0.0003,1065.2777777777778,76700
1564,50,0.006298457272350788,79199,0.020287850871682167,0.9022332429885864,-170.29988371052627,2.1841983795166016,76,0.0003,1043.421052631579,79300
1630,50,0.006922540720552206,82752,0.01430838368833065,-0.22576618194580078,-162.4502190875,1.6844781637191772,80,0.0003,1035.6625,82853
1684,50,0.0066947187297046185,85554,0.016600273549556732,-0.08340426534414291,-155.31325227380952,1.3202173709869385,84,0.0003,1019.702380952381,85655
1735,50,0.007594778202474117,88299,0.016277087852358818,-0.026667289435863495,-149.45900197727272,1.0874460935592651,88,0.0003,1004.5454545454545,88400
1784,50,0.008075287565588951,90899,0.017627179622650146,-0.20590117573738098,-143.54578144565218,1.2947745323181152,92,0.0003,989.1304347826087,91000
1832,51,0.007642936892807484,93499,0.020128987729549408,0.0075492262840271,-136.43965497916668,1.6122480630874634,96,0.0003,975.0,93600
1872,51,0.007761566899716854,95490,0.022201362997293472,0.34117597341537476,-129.9415746,0.46533453464508057,100,0.0003,955.91,95591
1926,51,0.007513146847486496,98293,0.04521426558494568,-0.27408716082572937,-98.40274441999996,-0.24473443627357483,104,0.0003,957.94,98394
1980,51,0.008851257152855396,101143,0.15291203558444977,0.02799104154109955,-78.02868152,-0.9364627003669739,108,0.0003,934.44,101244
2024,51,0.008795603178441525,103456,0.020367372781038284,0.021378427743911743,-69.63907646000001,-1.4526054859161377,112,0.0003,905.57,103557
2075,51,0.008906240575015545,106153,0.019798146560788155,-1.0665860176086426,-59.49577155,-1.1818147897720337,116,0.0003,880.54,106254
2126,51,0.009047002531588078,108775,0.022449355572462082,0.9738993644714355,-50.19655909000001,-0.9985607862472534,120,0.0003,854.76,108876
2167,51,0.010058592073619366,110928,0.030388088896870613,1.1910020112991333,-43.25664623000001,-2.879474401473999,124,0.0003,824.29,111029
2207,51,0.010146056301891804,112999,1.05973482131958,0.11539711058139801,-39.139462259999995,-2.9984676837921143,128,0.0003,819.0,113100
2245,51,0.010602881200611591,114961,0.06428083777427673,0.8221109509468079,-32.071440859999996,-2.3421878814697266,132,0.0003,804.85,115062
2294,51,0.011932839639484882,117587,0.1073162853717804,-0.13055381178855896,-23.31186444,-3.1985580921173096,136,0.0003,802.56,117688
2331,51,0.01171225868165493,119499,0.03530214726924896,-0.7131777405738831,-16.443274270000003,-3.3143868446350098,140,0.0003,780.0,119600
2376,51,0.012273182161152363,121938,0.04878848046064377,0.011508584022521973,-6.869753990000001,-5.012321472167969,144,0.0003,752.39,122039
2405,51,0.011991973966360092,123399,0.06176552176475525,-0.5038918852806091,0.11584852999999923,-3.3748176097869873,148,0.0003,715.0,123500
2445,51,0.011691946536302567,125420,1.343013882637024,0.09762901067733765,8.817152530000001,-4.706521987915039,152,0.0003,683.21,125521
2481,51,0.01275559887290001,127299,0.0758175402879715,-0.2999647855758667,17.72125725,-6.492676734924316,156,0.0003,655.47,127400
