time/total_timesteps,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/ent_coef,rollout/ep_len_mean,time/fps
3900,20.326581954956055,3799,1.6828927993774414,-2.38192081451416,4,-1818.2786230000002,0.0003,75,0.37744614481925964,975.0,51
7486,19.354263305664062,7385,0.4635384678840637,-3.1025547981262207,8,-1011.3781045000001,0.0003,150,0.14227096736431122,935.75,49
11700,18.83017349243164,11599,0.1801956444978714,-3.6975626945495605,12,-720.5082141666667,0.0003,232,0.0459323450922966,975.0,50
16900,16.488479614257812,16799,0.08735068887472153,-0.42478999495506287,16,-554.7278185,0.0003,337,0.01732540875673294,1056.25,50
20688,15.431732177734375,20587,0.041770726442337036,0.3307591676712036,20,-464.5094663000001,0.0003,423,0.01753789559006691,1034.4,48
24700,13.826471328735352,24599,0.061257533729076385,0.44827449321746826,24,-397.99507366666666,0.0003,514,0.016555970534682274,1029.1666666666667,48
29900,12.305614471435547,29799,0.1616891473531723,0.08460187911987305,28,-354.2280438571429,0.0003,622,0.01500623021274805,1067.857142857143,48
35100,10.813848495483398,34999,0.02973194606602192,-0.8352792859077454,32,-321.29052421874997,0.0003,718,0.009541511535644531,1096.875,48
38669,11.441536903381348,38568,0.025979720056056976,1.05708646774292,36,-299.58088063888886,0.0003,785,0.01346597634255886,1074.138888888889,49
41278,11.304058074951172,41177,0.05255959928035736,-0.7063180208206177,40,-274.039750275,0.0003,834,0.013956098817288876,1031.95,49
44021,11.219731330871582,43920,0.09849859029054642,0.17019867897033691,44,-252.81291854545455,0.0003,886,0.015224209986627102,1000.4772727272727,49
46787,10.942739486694336,46686,0.031020568683743477,-0.34084153175354004,48,-235.36045593749998,0.0003,937,0.015318510122597218,974.7291666666666,49
49400,11.083436965942383,49299,0.02135210670530796,-1.3296756744384766,52,-220.62746557692304,0.0003,987,0.015188274905085564,950.0,50
52000,11.123396873474121,51899,0.03052324801683426,-1.1941516399383545,56,-209.4480570535714,0.0003,1036,0.014089703559875488,928.5714285714286,50
57200,11.395051002502441,57099,0.020438168197870255,-0.28801998496055603,60,-203.0273422833333,0.0003,1148,0.012514766305685043,953.3333333333334,49
61100,10.94250202178955,60999,0.48737382888793945,0.1679811179637909,64,-195.59667914062499,0.0003,1231,0.010618708096444607,954.6875,49
64810,11.061461448669434,64709,0.03433586657047272,2.0225882530212402,68,-188.71136252941176,0.0003,1313,0.009391321800649166,953.0882352941177,49
67386,10.916826248168945,67285,0.5096420049667358,-0.2155715525150299,72,-181.11014344444445,0.0003,1366,0.009062572382390499,935.9166666666666,49
70200,10.544692039489746,70099,0.019402625039219856,0.6410578489303589,76,-175.24505131578948,0.0003,1427,0.008230648003518581,923.6842105263158,49
74100,10.706110954284668,73999,0.03053831122815609,0.1953350007534027,80,-169.6953722,0.0003,1504,0.009323597885668278,926.25,49
77483,10.601435661315918,77382,0.04979560896754265,0.9022813439369202,84,-164.01632338095237,0.0003,1574,0.009599939920008183,922.4166666666666,49
80600,10.429792404174805,80499,0.012112834490835667,-0.12360762059688568,88,-159.589826875,0.0003,1638,0.009265433065593243,915.9090909090909,49
83999,10.568894386291504,83898,0.01072731614112854,-0.4050087332725525,92,-154.9434849565217,0.0003,1712,0.009712794795632362,913.0326086956521,49
88400,10.511808395385742,88299,0.03171863779425621,1.005977749824524,96,-151.80693744791668,0.0003,1806,0.009768219664692879,920.8333333333334,48
91731,10.494829177856445,91630,0.0250864140689373,-0.6716060638427734,100,-147.77699566000004,0.0003,1874,0.009865401312708855,917.31,48
95699,10.023835182189941,95598,0.33189308643341064,1.2397661209106445,104,-77.65007448,0.0003,1957,0.009292085655033588,917.99,48
98800,9.932948112487793,98699,0.019997676834464073,-0.20511147379875183,108,-70.76562622,0.0003,2019,0.010174069553613663,913.14,48
