time/time_elapsed,train/actor_loss,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/episodes,time/total_timesteps,time/fps,train/ent_coef_loss,train/n_updates,rollout/ep_len_mean
12,20.597206115722656,0.0003,79.7352294921875,-1304.1889752500003,0.893763542175293,4,547,43,-0.3128896653652191,446,136.75
25,22.05799102783203,0.0003,9.723640441894531,-718.8014185000001,0.7806494832038879,8,1119,44,-0.5864197015762329,1018,139.875
40,22.992761611938477,0.0003,3.8845839500427246,-527.2230025833334,0.6394740343093872,12,1867,46,-1.2379660606384277,1766,155.58333333333334
59,23.887073516845703,0.0003,9.731404304504395,-436.2820184375,0.47721561789512634,16,2865,47,-1.8737990856170654,2764,179.0625
80,24.267173767089844,0.0003,1.9001741409301758,-384.94645260000004,0.3530822992324829,20,3900,48,-2.5384554862976074,3799,195.0
150,17.714025497436523,0.0003,0.4799225330352783,-379.91942524999996,0.12314199656248093,24,7800,51,-3.3555517196655273,7699,325.0
204,16.41185760498047,0.0003,0.723056435585022,-364.48273253571426,0.06030680984258652,28,10818,52,-1.9498573541641235,10717,386.35714285714283
240,15.444698333740234,0.0003,0.3658289313316345,-343.22968428125,0.04293196648359299,32,12703,52,-0.6672414541244507,12602,396.96875
288,15.131736755371094,0.0003,0.2168729454278946,-329.71949369444445,0.03298516571521759,36,15295,53,0.5467568635940552,15194,424.8611111111111
316,13.813638687133789,0.0003,0.6180903911590576,-308.06144255,0.03196710720658302,40,16693,52,-0.21451589465141296,16592,417.325
405,11.067136764526367,0.0003,0.5171908140182495,-298.8367225681818,0.027754249051213264,44,20800,51,-0.3275632858276367,20699,472.72727272727275
478,9.749383926391602,0.0003,0.09429013729095459,-288.8466556458334,0.027548309415578842,48,24071,50,0.46996748447418213,23970,501.4791666666667
494,9.4462308883667,0.0003,0.17567884922027588,-270.41784050000007,0.028199804946780205,52,24700,49,0.11529895663261414,24599,475.0
513,9.07406234741211,0.0003,0.09641239047050476,-255.62266442857143,0.0286132600158453,56,25489,49,-0.002238333225250244,25388,455.1607142857143
530,8.9762544631958,0.0003,0.12333893030881882,-242.63875506666668,0.029009846970438957,60,26192,49,-0.35085633397102356,26091,436.53333333333336
555,8.28489875793457,0.0003,0.36219504475593567,-232.46415571875002,0.027444124221801758,64,27268,49,-0.18514543771743774,27167,426.0625
571,8.890740394592285,0.0003,0.08926452696323395,-221.6977083676471,0.02719653956592083,68,27932,48,-0.2650916278362274,27831,410.7647058823529
587,7.677551746368408,0.0003,0.07104454934597015,-212.00486718055558,0.027601050212979317,72,28600,48,0.3562163710594177,28499,397.22222222222223
603,7.630990982055664,0.0003,0.15827631950378418,-203.89758310526318,0.028460869565606117,76,29251,48,0.1273932158946991,29150,384.88157894736844
619,7.80656099319458,0.0003,0.17539072036743164,-196.84672425000002,0.031189775094389915,80,29900,48,0.38933634757995605,29799,373.75
638,7.354731559753418,0.0003,0.10315058380365372,-190.3672962857143,0.03319075331091881,84,30566,47,-0.8402047157287598,30465,363.8809523809524
653,6.445090293884277,0.0003,0.1632053554058075,-184.01475606818184,0.03319559991359711,88,31200,47,-0.3460196554660797,31099,354.54545454545456
670,7.083767890930176,0.0003,0.08424995839595795,-178.7247210652174,0.030522599816322327,92,31946,47,-0.23416315019130707,31845,347.2391304347826
692,6.56595516204834,0.0003,0.103791743516922,-173.75203653125,0.027798380702733994,96,32685,47,0.2797134816646576,32584,340.46875
719,6.3652567863464355,0.0003,0.07523956149816513,-170.46785077,0.025517798960208893,100,33800,46,0.036124199628829956,33699,338.0
746,6.13907527923584,0.0003,0.06574481725692749,-121.6457888,0.024371283128857613,104,35100,46,0.033388346433639526,34999,345.53
789,5.671591758728027,0.0003,0.20356819033622742,-122.30570415,0.02198845148086548,108,37010,46,0.3311265707015991,36909,358.91
834,5.1637067794799805,0.0003,0.11062337458133698,-124.83606693,0.024065261706709862,112,39000,46,0.32545605301856995,38899,371.33
920,3.302237033843994,0.0003,0.053577352315187454,-135.06722325,0.033610519021749496,116,42900,46,-0.7149838209152222,42799,400.35
1034,2.2399086952209473,0.0003,0.025722939521074295,-142.23377466,0.022957272827625275,120,48100,46,-0.8534002304077148,47999,442.0
1152,2.1602017879486084,0.0003,0.021775372326374054,-142.26206009999999,0.01780764013528824,124,53300,46,-0.090086430311203,53199,455.0
1266,2.151978015899658,0.0003,0.025208041071891785,-142.96538392,0.01993722654879093,128,58500,46,-0.2921106517314911,58399,476.82
1377,2.2692549228668213,0.0003,0.016010576859116554,-145.94241635,0.014634592458605766,132,63700,46,0.502632737159729,63599,509.97
1483,2.4680211544036865,0.0003,0.01932602934539318,-145.1897416,0.013076159171760082,136,68157,45,0.7577857971191406,68056,528.62
1512,2.4643056392669678,0.0003,0.046982184052467346,-144.43352579,0.012760758399963379,140,69349,45,0.9787194728851318,69248,526.56
1528,2.4815986156463623,0.0003,0.028377708047628403,-138.65752700000002,0.012008946388959885,144,70037,45,0.15450629591941833,69936,492.37
1545,2.634944200515747,0.0003,0.023780550807714462,-133.92471991999997,0.011798401363193989,148,70725,45,0.41253653168678284,70624,466.54
1564,2.6651806831359863,0.0003,0.018446603789925575,-134.73743795,0.01146632432937622,152,71500,45,-0.12706874310970306,71399,468.0
1590,2.877690315246582,0.0003,0.01201171986758709,-135.56761734,0.011288297362625599,156,72587,45,-0.5704143643379211,72486,470.98
1605,2.7708609104156494,0.0003,0.01228375919163227,-135.15322992,0.011621368117630482,160,73197,45,0.32636886835098267,73096,470.05
1639,2.827516555786133,0.0003,0.014451636001467705,-136.48239126,0.011364491656422615,164,74547,45,0.8184022307395935,74446,472.79
1659,2.9278407096862793,0.0003,0.009368433617055416,-137.15039338,0.011352191679179668,168,75349,45,-0.056732818484306335,75248,474.17
1680,2.9278440475463867,0.0003,0.016296174377202988,-137.96242532000002,0.011580847203731537,172,76142,45,0.06303927302360535,76041,475.42
1695,2.9065942764282227,0.0003,0.022115305066108704,-137.65324908000002,0.011729405261576176,176,76700,45,1.296982765197754,76599,474.49
1714,2.9582271575927734,0.0003,0.008800424635410309,-137.98930340000004,0.012151013128459454,180,77475,45,-0.1214643120765686,77374,475.75
1749,3.0234575271606445,0.0003,0.014171816408634186,-139.81516134,0.012999603524804115,184,79045,45,0.3957118093967438,78944,484.79
1770,2.908771514892578,0.0003,0.012055054306983948,-140.92011088,0.013066723011434078,188,79952,45,0.2141970992088318,79851,487.52
1790,2.9747190475463867,0.0003,0.0167037695646286,-141.33533423,0.01288185641169548,192,80832,45,0.49452921748161316,80731,488.86
1808,2.988704204559326,0.0003,0.011102072894573212,-142.0350007,0.012637156993150711,196,81617,45,1.197666883468628,81516,489.32
1829,2.9392850399017334,0.0003,0.05001853033900261,-141.20589035,0.012406887486577034,200,82449,45,1.3021292686462402,82348,486.49
1846,2.915764808654785,0.0003,0.012423219159245491,-140.23413275000001,0.012266998179256916,204,83200,45,0.4714009761810303,83099,481.0
1865,3.011352777481079,0.0003,0.009787267073988914,-137.2569582,0.012264073826372623,208,84033,45,0.8030417561531067,83932,470.23
1895,2.9849658012390137,0.0003,0.030086111277341843,-132.57575897000004,0.01271065790206194,212,85431,45,-0.5199735760688782,85330,464.31
1916,2.9597718715667725,0.0003,0.0726565346121788,-118.8685256,0.013007447123527527,216,86345,45,-0.0965031087398529,86244,434.45
1932,3.0220344066619873,0.0003,0.01573920249938965,-106.96134291000003,0.012954969890415668,220,87060,45,0.17729061841964722,86959,389.6
1946,2.978127956390381,0.0003,0.01438078097999096,-94.69739597000002,0.013200439512729645,224,87639,45,0.4747537672519684,87538,343.39
1961,2.9687137603759766,0.0003,0.015337860211730003,-85.59559513000002,0.013904977589845657,228,88311,45,0.6902103424072266,88210,298.11
1975,2.9599647521972656,0.0003,0.012549230828881264,-76.62898474999999,0.014204774983227253,232,88897,44,0.8522763848304749,88796,251.97
1991,3.0345187187194824,0.0003,0.012236934155225754,-71.4499468,0.014522028155624866,236,89644,45,0.3644939661026001,89543,214.87
2010,2.8665809631347656,0.0003,0.026707788929343224,-70.61515574,0.014507320709526539,240,90415,44,0.1448982059955597,90314,210.66
2042,2.787137985229492,0.0003,0.01741042174398899,-73.95519777,0.01412947941571474,244,91805,44,-0.21748709678649902,91704,217.68
2080,2.972013235092163,0.0003,0.022895582020282745,-78.64712671,0.014310047961771488,248,93600,44,-0.1506345570087433,93499,228.75
2108,2.766611337661743,0.0003,0.04340888559818268,-81.38052838,0.013669408857822418,252,94900,45,-0.547038733959198,94799,234.0
2128,2.817289352416992,0.0003,0.011997919529676437,-81.62411888,0.013960625045001507,256,95809,45,-0.6280046701431274,95708,232.22
2142,2.8821828365325928,0.0003,0.009939128533005714,-81.80932451,0.013548552989959717,260,96395,44,-0.517386794090271,96294,231.98
2158,2.7359347343444824,0.0003,0.016291506588459015,-80.44381513,0.013749750331044197,264,97142,44,-0.9315445423126221,97041,225.95
2170,2.791386842727661,0.0003,0.1391272246837616,-79.67904973,0.013672766275703907,268,97660,44,-0.6521444320678711,97559,223.11
2185,2.727851152420044,0.0003,0.00947616808116436,-79.3842085,0.01375498902052641,272,98278,44,0.5383734703063965,98177,221.36
2201,2.725264072418213,0.0003,0.009488647803664207,-80.48237119999999,0.01369967870414257,276,98964,44,-0.01692676544189453,98863,222.64
2216,2.609931468963623,0.0003,0.014464065432548523,-80.24183602000001,0.013580401428043842,280,99615,44,0.0029640011489391327,99514,221.4
