time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,time/fps,train/n_updates,train/actor_loss,time/episodes,train/ent_coef_loss,time/time_elapsed
1300,325.0,0.002289548749104142,-0.2334464999999999,0.006747487932443619,0.0003,54,101099,-2.5158023834228516,4,-1.28640878200531,23
2046,255.75,0.003049328690394759,2.0339295,0.042362943291664124,0.0003,52,101845,-2.453768491744995,8,5.635704517364502,38
2600,216.66666666666666,0.00358191947452724,1.0010888333333334,0.005368266254663467,0.0003,51,102399,-1.9735612869262695,12,2.498128890991211,50
3048,190.5,0.004015889018774033,0.687708125,0.005138681270182133,0.0003,49,102847,-1.986231803894043,16,1.5082635879516602,60
4528,226.4,0.005293387919664383,2.9345964,0.0066055916249752045,0.0003,50,104327,-2.5093021392822266,20,0.7564152479171753,88
6500,270.8333333333333,0.007788133341819048,10.983932208333334,0.0226580910384655,0.0003,51,106299,-5.06960391998291,24,1.4275128841400146,125
9100,325.0,0.009212000295519829,21.6930195,0.181645005941391,0.0003,52,108899,-6.979128837585449,28,0.33039456605911255,172
11349,354.65625,0.009260397404432297,28.55499571875,0.0395253449678421,0.0003,52,111148,-8.430087089538574,32,-0.5365827083587646,214
12079,335.52777777777777,0.009265256114304066,25.927690555555554,0.029359720647335052,0.0003,52,111878,-7.844995498657227,36,-0.2448432296514511,229
12992,324.8,0.009211864322423935,25.51838695,0.12232810258865356,0.0003,52,112791,-8.404641151428223,40,-0.3094586431980133,248
14055,319.4318181818182,0.010322910733520985,25.891860227272726,0.04537159949541092,0.0003,52,113854,-8.78718376159668,44,-1.160130500793457,269
14824,308.8333333333333,0.010903452523052692,24.472664124999998,0.06816605478525162,0.0003,52,114623,-9.248457908630371,48,-0.11546553671360016,284
15600,300.0,0.010975291021168232,22.626976884615388,0.4605562090873718,0.0003,51,115399,-7.878735542297363,52,-1.4617191553115845,300
16900,301.7857142857143,0.012090057134628296,21.174695678571428,0.15723097324371338,0.0003,51,116699,-8.205766677856445,56,-0.23339629173278809,325
