time/episodes,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,time/fps,time/total_timesteps,train/learning_rate
4,34,0.7225106358528137,176.5162945,0.03359895944595337,-41.83873748779297,0.30146753787994385,455.25,601520,53,1821,0.0003
8,70,2.534119129180908,172.83114750000001,0.04882219806313515,-37.89692687988281,0.5746792554855347,473.0,603483,53,3784,0.0003
12,89,2.3414015769958496,128.85683283333336,0.04921072721481323,-35.97152328491211,0.1342168152332306,389.5833333333333,604374,52,4675,0.0003
16,106,0.6575666666030884,100.2656831875,0.04982716962695122,-34.77165603637695,0.3687431216239929,346.75,605247,51,5548,0.0003
20,116,0.9097452163696289,80.6452932,0.05198002979159355,-30.19843292236328,-0.04744105041027069,297.8,605655,51,5956,0.0003
24,129,0.5444567203521729,67.18437304166667,0.049887921661138535,-31.19803810119629,-0.7397743463516235,272.3333333333333,606235,50,6536,0.0003
28,154,0.7926432490348816,58.262558607142864,0.047224223613739014,-30.823265075683594,-0.7928385734558105,278.57142857142856,607499,50,7800,0.0003
32,219,4.306591033935547,53.8637705,0.03723849728703499,-26.017375946044922,-0.6581302285194397,353.90625,611024,51,11325,0.0003
36,239,2.8292410373687744,49.60753236111111,0.037923481315374374,-27.752548217773438,0.7744386792182922,341.80555555555554,612004,51,12305,0.0003
40,258,0.7454813718795776,47.240315124999995,0.04015357419848442,-29.214435577392578,1.1162340641021729,330.975,612938,51,13239,0.0003
44,293,1.4203665256500244,46.055883431818174,0.046429600566625595,-31.02184295654297,0.2784775495529175,339.75,614648,50,14949,0.0003
48,325,3.103471517562866,47.77512595833334,0.050269972532987595,-31.13633155822754,0.8009567856788635,345.5208333333333,616284,50,16585,0.0003
52,356,0.731842041015625,46.82929309615385,0.0447632260620594,-26.886871337890625,-0.29413923621177673,350.0,617899,51,18200,0.0003
56,392,1.4699985980987549,48.022840249999994,0.04320959746837616,-29.269569396972656,0.2593417167663574,358.48214285714283,619774,51,20075,0.0003
60,420,11.206390380859375,51.02115774999999,0.044987715780735016,-28.56203269958496,-0.40289080142974854,358.96666666666664,621237,51,21538,0.0003
64,455,2.2562613487243652,53.65455821875,0.055220406502485275,-30.735069274902344,-0.4742014408111572,365.625,623099,51,23400,0.0003
68,503,3.1537981033325195,56.057947441176466,0.04793224856257439,-38.13021469116211,0.6274433135986328,382.3529411764706,625699,51,26000,0.0003
72,538,5.238635063171387,54.30876958333334,0.04583955183625221,-30.50343132019043,0.07085095345973969,384.7361111111111,627400,51,27701,0.0003
76,550,1.2258944511413574,51.43413002631579,0.04633159562945366,-30.97412109375,0.08010701835155487,371.3421052631579,627921,51,28222,0.0003
80,561,2.476449489593506,48.843694012499995,0.04514380916953087,-29.852191925048828,0.4469776749610901,358.9625,628416,51,28717,0.0003
84,584,1.7966985702514648,46.49055370238095,0.04379305988550186,-34.61704635620117,0.23314714431762695,355.64285714285717,629573,51,29874,0.0003
88,610,2.125222682952881,44.36705256818182,0.0450914166867733,-25.25218391418457,-0.2135644108057022,354.54545454545456,630899,51,31200,0.0003
92,645,3.5402822494506836,44.98363429347827,0.048365071415901184,-31.517478942871094,-0.8434851169586182,358.9021739130435,632718,51,33019,0.0003
96,682,3.4269204139709473,47.54966877083333,0.048129525035619736,-30.401504516601562,-0.7529011964797974,364.1770833333333,634660,51,34961,0.0003
100,720,2.0991976261138916,49.58747872,0.04831983149051666,-40.20390319824219,0.6542216539382935,369.41,636640,51,36941,0.0003
104,744,4.988183975219727,44.49119860999999,0.04722984880208969,-38.06575012207031,0.060450479388237,363.42,637862,51,38163,0.0003
108,767,2.398792266845703,39.52655154,0.04705045372247696,-32.23345184326172,0.6951268315315247,355.09,638992,51,39293,0.0003
112,792,10.771099090576172,40.36138323,0.04810967668890953,-36.576515197753906,0.14052940905094147,359.27,640301,51,40602,0.0003
116,817,2.4988889694213867,41.31448216,0.04776701331138611,-38.47727966308594,0.09558358788490295,363.01,641548,51,41849,0.0003
120,855,60.61012268066406,44.40397466,0.0484231673181057,-34.976890563964844,1.2110387086868286,378.38,643493,51,43794,0.0003
124,865,2.7587127685546875,44.41228631,0.04945438355207443,-41.87092590332031,1.059622049331665,376.64,643899,51,44200,0.0003
128,882,2.41367244720459,44.442850099999994,0.050903383642435074,-37.43941879272461,0.3462013602256775,372.27,644726,51,45027,0.0003
132,900,5.907358169555664,43.79340207999999,0.04982507973909378,-32.791770935058594,-0.2658584713935852,345.56,645580,50,45881,0.0003
136,922,2.7422361373901367,44.58201607000001,0.05181746929883957,-32.42580032348633,0.3006933927536011,346.65,646669,50,46970,0.0003
140,938,2.9030585289001465,43.790485329999996,0.05113296955823898,-33.14801788330078,-1.1890590190887451,345.03,647441,50,47742,0.0003
144,953,2.290388822555542,42.477278510000005,0.049438152462244034,-35.18709182739258,0.21506083011627197,334.43,648091,50,48392,0.0003
148,985,4.624248504638672,41.218218040000004,0.04575517028570175,-37.438079833984375,1.2407751083374023,334.57,649741,50,50042,0.0003
152,1022,2.2727725505828857,42.02179358,0.046048928052186966,-35.04549789428711,0.8389288187026978,338.0,651699,50,52000,0.0003
156,1047,2.9413669109344482,40.460499950000006,0.04503173381090164,-37.79948425292969,-0.41575703024864197,332.25,652999,50,53300,0.0003
160,1087,2.106590747833252,38.694404799999994,0.043579235672950745,-34.99333190917969,-0.32799646258354187,338.47,655084,50,55385,0.0003
164,1135,4.438661575317383,39.11430461,0.04287208989262581,-36.82829284667969,-0.6532117128372192,344.82,657581,50,57882,0.0003
168,1162,4.085484504699707,37.08251824,0.042122986167669296,-39.666419982910156,0.04075346142053604,332.24,658923,50,59224,0.0003
