train/n_updates,train/critic_loss,train/ent_coef,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,time/episodes,train/actor_loss
193,0.12930336594581604,0.943979024887085,40,7,294,73.5,0.8008157499999999,0.0003,-0.2899826169013977,4,-5.016505718231201
486,0.27093619108200073,0.8645346164703369,39,14,587,73.375,-1.2633685000000001,0.0003,-0.7360485792160034,8,-6.5545759201049805
772,0.5461370944976807,0.793459951877594,38,22,873,72.75,-1.5602134166666666,0.0003,-1.1643472909927368,12,-8.141535758972168
1066,0.40619251132011414,0.7265434861183167,38,30,1167,72.9375,-1.4482670625,0.0003,-1.5952661037445068,16,-9.744377136230469
1347,0.5589388608932495,0.6679274439811707,36,39,1448,72.4,-2.1007414,0.0003,-2.0199134349823,20,-10.934377670288086
1619,0.7897292375564575,0.615707516670227,34,49,1720,71.66666666666667,-1.5299718333333334,0.0003,-2.4244678020477295,24,-12.166374206542969
1889,0.4088524878025055,0.5680016279220581,34,57,1990,71.07142857142857,-1.5427663928571427,0.0003,-2.8161487579345703,28,-12.646273612976074
2183,0.7706184983253479,0.5202407836914062,34,65,2284,71.375,-1.3053438437500002,0.0003,-3.2439322471618652,32,-13.652796745300293
2478,0.3174029290676117,0.4764014482498169,34,73,2579,71.63888888888889,-1.0506372777777782,0.0003,-3.672025680541992,36,-14.513409614562988
2720,0.5675482749938965,0.4433315694332123,34,80,2821,70.525,-0.6511115000000001,0.0003,-4.035553455352783,40,-15.162342071533203
3013,1.073675274848938,0.4063904285430908,34,89,3114,70.77272727272727,-0.4426551590909092,0.0003,-4.383918762207031,44,-15.32516860961914
3310,0.46938350796699524,0.3721022605895996,35,97,3411,71.0625,-0.29081037500000007,0.0003,-4.887447357177734,48,-15.837928771972656
3603,0.24665549397468567,0.34104835987091064,35,105,3704,71.23076923076923,-0.15006792307692315,0.0003,-5.249051094055176,52,-16.508222579956055
3873,1.5292885303497314,0.3148179352283478,35,113,3974,70.96428571428571,-0.05998426785714298,0.0003,-5.587555885314941,56,-16.351036071777344
4172,0.1896640956401825,0.28814810514450073,35,121,4273,71.21666666666667,0.37932841666666656,0.0003,-5.940122604370117,60,-16.728221893310547
4467,0.3641290068626404,0.26406750082969666,35,130,4568,71.375,0.71932890625,0.0003,-6.385014057159424,64,-16.49130630493164
4765,0.20100490748882294,0.24180305004119873,35,138,4866,71.55882352941177,0.8611001029411766,0.0003,-6.793558120727539,68,-16.445674896240234
5061,0.21179188787937164,0.22152499854564667,35,146,5162,71.69444444444444,0.8807020972222223,0.0003,-7.326781272888184,72,-16.745647430419922
5321,0.1643894612789154,0.20507951080799103,35,154,5422,71.34210526315789,1.116514197368421,0.0003,-7.680041313171387,76,-16.767353057861328
5621,0.12194429337978363,0.18770460784435272,35,162,5722,71.525,1.2388004875,0.0003,-7.90339469909668,80,-16.256763458251953
5920,0.16265979409217834,0.17194166779518127,35,170,6021,71.67857142857143,1.4052694166666666,0.0003,-8.209335327148438,84,-15.73433780670166
6225,0.17238932847976685,0.1573164463043213,35,178,6326,71.88636363636364,1.6982778749999996,0.0003,-8.354150772094727,88,-15.682512283325195
6475,0.7154924869537354,0.1463422030210495,35,186,6576,71.47826086956522,1.942480467391304,0.0003,-8.499610900878906,92,-16.042407989501953
6782,0.11951591074466705,0.13393869996070862,35,194,6883,71.69791666666667,2.1908369375000003,0.0003,-8.896126747131348,96,-14.71084213256836
7090,0.12448278814554214,0.12257207185029984,35,202,7191,71.91,2.3447631500000004,0.0003,-9.242633819580078,100,-15.235095977783203
7395,1.0048317909240723,0.11227867007255554,35,211,7496,72.02,2.60429098,0.0003,-9.271349906921387,104,-15.612598419189453
7699,0.1235734075307846,0.10294606536626816,35,219,7800,72.13,2.96629883,0.0003,-9.288326263427734,108,-14.255696296691895
8005,0.0920899361371994,0.09435078501701355,35,228,8106,72.33,3.25937833,0.0003,-10.25783920288086,112,-14.308351516723633
8311,0.3584049940109253,0.0864836648106575,35,236,8412,72.45,3.52674526,0.0003,-10.117587089538574,116,-14.405641555786133
8616,0.12773588299751282,0.07938864827156067,35,244,8717,72.69,3.8885501,0.0003,-10.09093189239502,120,-14.349235534667969
8922,0.10106448829174042,0.07286810874938965,35,253,9023,73.03,4.0698304,0.0003,-10.287014961242676,124,-13.646268844604492
9152,0.7311593294143677,0.06833736598491669,35,259,9253,72.63,4.331623410000001,0.0003,-10.487127304077148,128,-12.702632904052734
9459,0.07095968723297119,0.06273695826530457,35,268,9560,72.76,4.55212995,0.0003,-10.641515731811523,132,-13.413768768310547
9767,0.10672187805175781,0.05760091543197632,35,276,9868,72.89,4.70949683,0.0003,-10.348941802978516,136,-12.17431640625
10075,0.07932499051094055,0.05290522798895836,35,286,10176,73.55,4.74125866,0.0003,-9.56191635131836,140,-11.74803352355957
10377,0.05316193401813507,0.048684261739254,35,294,10478,73.64,4.82437124,0.0003,-10.161938667297363,144,-11.606992721557617
10686,0.05215797573328018,0.044755104929208755,35,302,10787,73.76,4.963786870000001,0.0003,-10.946592330932617,148,-11.390881538391113
10999,0.04908641427755356,0.04110649600625038,35,311,11100,73.96,5.04440651,0.0003,-10.022746086120605,152,-11.214522361755371
11315,0.057676076889038086,0.037816938012838364,35,319,11416,74.42,5.1367023199999995,0.0003,-10.337152481079102,156,-10.024166107177734
