rollout/ep_len_mean,train/actor_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/total_timesteps,train/ent_coef,time/episodes,train/critic_loss
154.0,-6.772223949432373,515,0.0003,-2.5058567500000004,44,13,-0.7761224508285522,616,0.8570486307144165,4,0.044216327369213104
152.625,-10.090579986572266,1120,0.0003,-2.152893625,43,28,-1.6802070140838623,1221,0.7148228883743286,8,0.44288405776023865
149.08333333333334,-12.725271224975586,1688,0.0003,-1.7861946666666668,43,40,-2.5381596088409424,1789,0.603168249130249,12,0.49246662855148315
150.5625,-14.747149467468262,2308,0.0003,-0.811837125,43,55,-3.4001388549804688,2409,0.501511812210083,16,0.20263397693634033
144.3,-16.152376174926758,2785,0.0003,-0.6253803500000001,43,66,-4.100718975067139,2886,0.43507400155067444,20,0.1807083934545517
144.54166666666666,-17.23794937133789,3368,0.0003,-0.04495029166666672,42,80,-4.9286699295043945,3469,0.36581334471702576,24,0.191546231508255
144.64285714285714,-18.01288604736328,3949,0.0003,0.5321764642857143,43,93,-5.713663101196289,4050,0.3079627752304077,28,1.401341438293457
145.625,-18.429689407348633,4559,0.0003,1.3360016874999998,42,108,-6.359678268432617,4660,0.2573121190071106,32,0.18249772489070892
144.44444444444446,-18.751943588256836,5099,0.0003,1.615607861111111,42,121,-7.084562301635742,5200,0.21966823935508728,36,0.6482056379318237
144.875,-18.784835815429688,5694,0.0003,2.0692495749999997,42,134,-7.67750358581543,5795,0.18479745090007782,40,2.6039421558380127
145.8409090909091,-18.826759338378906,6316,0.0003,2.442412863636364,43,149,-8.310523986816406,6417,0.1542750895023346,44,0.3394175171852112
145.04166666666666,-18.748981475830078,6861,0.0003,2.9317493124999996,43,161,-8.892692565917969,6962,0.13170918822288513,48,0.8698798418045044
145.30769230769232,-18.459609985351562,7455,0.0003,3.218189961538461,43,175,-8.92312240600586,7556,0.11104831099510193,52,1.152374505996704
144.03571428571428,-18.27315330505371,7965,0.0003,3.412388857142857,43,187,-9.772666931152344,8066,0.09613794833421707,56,1.502630352973938
143.05,-17.46143341064453,8482,0.0003,3.5679173500000005,42,199,-8.700796127319336,8583,0.08311231434345245,60,0.34481847286224365
142.1875,-17.22015380859375,8999,0.0003,3.76244059375,42,212,-10.166682243347168,9100,0.07181273400783539,64,0.2124057412147522
142.5735294117647,-16.540681838989258,9594,0.0003,3.6298289411764704,42,225,-10.649160385131836,9695,0.06069514527916908,68,0.5037150382995605
143.0,-16.079219818115234,10195,0.0003,3.486227138888889,43,239,-10.612037658691406,10296,0.051142726093530655,72,1.7201387882232666
