Env,x,y,z
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.1324035,0.1421657,0.0025645825
0.0,-0.24797207,0.40432322,0.0054837465
0.0,-0.06427345,0.39415577,-0.0019969493
0.0,-0.3820964,0.37794557,0.017685845
0.0,-0.20081198,0.19404267,0.0025715157
0.0,-0.23006096,-0.102091774,0.0036665425
0.0,-0.5209415,-0.31731755,0.02029175
0.0,-0.745225,-0.5598005,0.026983317
0.0,-0.38072163,-0.64447004,0.02518855
0.0,0.04060023,-0.7688485,0.0331333
0.0,-0.30284655,-0.49394363,0.017185569
0.0,-0.2591181,-0.4329649,0.018749367
0.0,-0.07688576,-0.48517555,0.025726527
0.0,-0.032981962,-0.40528983,0.026652195
0.0,-0.3376322,-0.11198712,0.01285832
0.0,-0.5919894,0.16437042,0.0050480366
0.0,-0.13696751,0.41459006,0.00387799
0.0,0.21560591,0.57542676,-0.009745471
0.0,-0.15028495,0.7660142,0.011299118
0.0,-0.43509,0.60504127,0.035017967
0.0,-0.22768416,0.4557382,0.006638065
0.0,-0.0798499,0.37225392,-0.014567934
0.0,-0.37587935,0.34483847,0.0145588815
0.0,-0.28377008,0.5005302,0.0015598685
0.0,-0.53336203,0.5508614,0.024864793
0.0,-0.668403,0.63166106,0.036924392
0.0,-0.6900504,0.7670227,0.03607157
0.0,-0.6796738,0.68036485,0.028542787
0.0,-0.36971796,0.7977393,-0.021685362
0.0,-0.19078149,0.5939013,-0.05755946
0.0,0.15302989,0.32855368,-0.12014255
0.0,-0.17467806,0.02639685,-0.08147754
0.0,-0.08532422,-0.19550195,-0.09845156
0.0,-0.22229615,-0.32077667,-0.092075974
0.0,-0.4305795,-0.55370814,-0.086964205
0.0,-0.17324987,-0.7614189,-0.09840477
0.0,0.11793548,-0.926349,-0.09940998
0.0,0.3797768,-1.0860025,-0.091642916
0.0,0.01772406,-1.2094189,-0.123203054
0.0,0.010915991,-1.3270913,-0.12680532
0.0,0.20209411,-1.1430645,-0.10265526
0.0,-0.107957125,-1.2368115,-0.1490509
0.0,0.12129088,-1.321603,-0.11494663
0.0,0.093030155,-0.9811167,-0.12085293
0.0,-0.19387105,-1.035568,-0.16870242
0.0,-0.055198204,-0.70850396,-0.1465581
0.0,0.18243942,-0.5024222,-0.113026485
0.0,0.20627904,-0.49998552,-0.11066495
0.0,-0.038397998,-0.62069744,-0.1357141
0.0,-0.2519755,-0.6908494,-0.15753765
0.0,-0.29899776,-0.6461843,-0.1636769
0.0,-0.27391136,-0.74458474,-0.16443327
0.0,-0.26445135,-0.8592104,-0.16712812
0.0,0.048629846,-0.63035005,-0.13312435
0.0,-0.15896307,-0.54946595,-0.1594077
0.0,-0.17044263,-0.27768752,-0.16380738
0.0,-0.075278714,-0.2519088,-0.1599372
0.0,-0.316803,-0.3034881,-0.18237147
0.0,0.0008170698,-0.37683132,-0.16978015
0.0,0.03243631,-0.13849175,-0.1736108
0.0,-0.017937243,0.09042387,-0.18267997
0.0,0.062179215,0.20279281,-0.18699212
0.0,0.13764599,0.27077094,-0.19377898
0.0,-0.13576129,0.09128246,-0.20250797
0.0,0.094862,0.27415583,-0.21510541
0.0,0.20651026,0.12538405,-0.23078594
0.0,-0.07494804,0.043331232,-0.23496471
0.0,-0.119335316,-0.0635034,-0.24755186
0.0,-0.133838,0.11964307,-0.25883794
0.0,-0.3483715,0.114734724,-0.26892745
0.0,-0.09215136,0.10911822,-0.28643703
0.0,-0.1414325,0.13704161,-0.29898322
0.0,-0.058663756,0.00931254,-0.31908494
0.0,0.19663057,-0.0032067522,-0.33725563
0.0,0.3309065,0.05721689,-0.35273686
0.0,0.03489305,-0.10982409,-0.37326065
0.0,-0.0062207207,-0.26212963,-0.39645478
0.0,-0.23782146,-0.40608782,-0.4251045
0.0,0.044147924,-0.53698033,-0.43816394
0.0,-0.023422614,-0.6560948,-0.4668848
0.0,-0.1627264,-0.52911836,-0.49598658
0.0,-0.25613552,-0.6203916,-0.5297369
0.0,-0.1306595,-0.7107557,-0.5408994
0.0,0.10468116,-0.791768,-0.5355882
0.0,-0.08821745,-0.8670233,-0.5882606
0.0,-0.14496669,-0.93145305,-0.6222515
0.0,-0.06597066,-0.8853502,-0.62715125
0.0,0.17199756,-0.75394565,-0.59993786
0.0,0.03784688,-0.8064952,-0.64968896
0.0,0.15019576,-0.51421434,-0.6472496
0.0,-0.0991116,-0.5170681,-0.71399015
0.0,-0.07359114,-0.49625805,-0.7309872
0.0,-0.16962008,-0.52439195,-0.7709608
0.0,-0.28886622,-0.5865722,-0.8180835
0.0,-0.1212607,-0.5205174,-0.81085616
0.0,0.12091839,-0.5770856,-0.79843986
0.0,0.2912814,-0.5690754,-0.7916117
0.0,0.020723313,-0.30298415,-0.8592098
0.0,-0.1347994,-0.16569266,-0.90367717
0.0,-0.18270342,-0.117699035,-0.9321663
0.0,-0.33875644,-0.05674552,-0.97330946
0.0,-0.43308318,0.13767041,-1.0047734
0.0,-0.28160277,0.100929536,-1.0173874
0.0,-0.4393965,0.0896235,-1.0537663
0.0,-0.5705424,0.17982133,-1.0837215
0.0,-0.24911448,0.07745294,-1.095464
0.0,-0.39348355,0.029062651,-1.1278713
0.0,-0.16011104,0.232433,-1.1325883
0.0,0.08458042,0.4302559,-1.1385005
0.0,0.2908536,0.322376,-1.1553414
0.0,0.45825407,0.31147075,-1.1686581
0.0,0.264754,0.20133716,-1.1877931
0.0,0.43451908,0.27771926,-1.2010233
0.0,0.5772188,0.21485144,-1.2155213
0.0,0.39954498,0.25157362,-1.225622
0.0,0.17264092,0.1743739,-1.2346128
0.0,0.24051392,0.1848351,-1.2452172
0.0,0.02199322,0.19640692,-1.2506125
0.0,0.08765596,0.18632704,-1.2591447
0.0,0.09285778,0.09576217,-1.2662188
0.0,0.2926814,0.25695026,-1.2737969
0.0,0.228939,0.14412393,-1.2753567
0.0,-0.018196106,0.28111082,-1.2716322
0.0,-0.22099939,0.116950616,-1.2651228
0.0,-0.33958253,0.08757128,-1.2601103
0.0,-0.065472186,0.24900305,-1.2630948
0.0,0.03956288,0.1830255,-1.2605834
0.0,0.24781561,0.27436674,-1.2613469
0.0,0.26487976,0.20715174,-1.2517681
0.0,0.0032366514,0.038624104,-1.2228669
0.0,0.20284307,-0.11425641,-1.2122504
0.0,0.02696824,-0.10291653,-1.1940987
0.0,-0.091028124,-0.25436646,-1.1683323
0.0,-0.12042913,-0.08167626,-1.1501156
0.0,-0.0107598305,0.0034658425,-1.1306424
0.0,0.007937431,-0.1401009,-1.0985868
0.0,-0.09797013,-0.2247362,-1.0693512
0.0,0.12531891,-0.20698376,-1.0418267
0.0,-0.09272599,-0.33368206,-1.004607
0.0,-0.30290464,-0.14867786,-0.97865903
0.0,-0.47376448,0.03522445,-0.9494857
0.0,-0.60985464,0.020939875,-0.9154341
0.0,-0.39575985,-0.020528808,-0.8810098
0.0,-0.124020875,-0.10031767,-0.8443152
0.0,0.095728606,0.059254903,-0.81183434
0.0,0.27916893,0.064197645,-0.7777941
0.0,0.4307501,-0.0326152,-0.7330276
0.0,0.1402579,-0.12496521,-0.673371
0.0,0.11656582,-0.09894131,-0.63102007
0.0,0.19435892,-0.13736741,-0.5848628
0.0,0.32633102,-0.16023013,-0.53922814
0.0,0.108679906,-0.27343556,-0.47652006
0.0,-0.12503582,-0.3449134,-0.42219824
0.0,-0.31821144,-0.43464914,-0.3658666
0.0,-0.26215574,-0.49863052,-0.30911598
0.0,-0.43108702,-0.45637512,-0.26816213
0.0,-0.5604572,-0.26293454,-0.22556117
0.0,-0.27663183,-0.14033206,-0.17273058
0.0,-0.4153753,0.03437978,-0.12909263
0.0,-0.15857103,0.19719581,-0.08724005
0.0,0.03914337,0.31959903,-0.05267383
0.0,0.21867453,0.3428163,-0.022850484
0.0,0.20289704,0.40364337,0.01672186
0.0,0.17811525,0.33839574,0.061673522
0.0,0.015056245,0.3953089,0.11407595
0.0,0.04886686,0.3769462,0.14677969
0.0,0.011179745,0.38286418,0.18518011
0.0,0.024658382,0.48180032,0.21637073
0.0,-0.1839332,0.29868048,0.29195717
0.0,-0.30352077,0.16370992,0.3457768
0.0,-0.224818,0.24124807,0.36515525
0.0,-0.30433536,0.33860663,0.40136483
0.0,-0.2702109,0.15888262,0.4349532
0.0,-0.09442064,-0.01794805,0.45071265
0.0,0.104501575,-0.18560463,0.46477497
0.0,-0.10541746,-0.06758242,0.5001097
0.0,0.081088796,-0.090836495,0.50780535
0.0,0.25229156,-0.058450654,0.5147011
