Env,x,y,z
0.0,0.0,0.0,-0.04905
0.0,-31.969614,10.612204,5.1169915
0.0,-31.934315,10.654392,4.9935412
0.0,-31.787739,10.70406,4.8404355
0.0,-31.782686,10.735436,4.7686963
0.0,-31.734674,10.773681,4.728738
0.0,-31.69813,10.802186,4.7999506
0.0,-31.594975,10.834822,4.943353
0.0,-31.484032,10.866142,5.11898
0.0,-31.347635,10.886593,5.35363
0.0,-31.247618,10.896081,5.579683
0.0,-31.096222,10.925271,5.755357
0.0,-30.913492,10.981522,5.7773676
0.0,-30.875898,11.012732,5.796054
0.0,-30.823444,11.046932,5.830911
0.0,-30.783138,11.094091,5.8283334
0.0,-30.622942,11.14342,5.754102
0.0,-30.494366,11.1705265,5.6594596
0.0,-30.331295,11.180443,5.5676737
0.0,-30.241508,11.2165165,5.4310293
0.0,-30.12864,11.267444,5.2610025
0.0,-30.086393,11.304435,5.2194834
0.0,-30.062372,11.332706,5.280779
0.0,-30.050306,11.363767,5.345227
0.0,-29.994493,11.395952,5.3949866
0.0,-29.926722,11.419963,5.433823
0.0,-29.87078,11.445139,5.4465466
0.0,-29.824888,11.463138,5.479119
0.0,-29.766302,11.476672,5.508406
0.0,-29.767378,11.489123,5.576701
0.0,-29.66758,11.498212,5.635603
0.0,-29.63741,11.511402,5.719586
0.0,-29.518784,11.523368,5.8598475
0.0,-29.363836,11.538279,6.019674
0.0,-29.299168,11.546449,6.2266083
0.0,-29.256252,11.556441,6.4045095
0.0,-29.124788,11.558613,6.6219454
0.0,-28.981903,11.548458,6.8673234
0.0,-28.830301,11.553649,7.0709763
0.0,-28.659756,11.580301,7.232425
0.0,-28.461489,11.629137,7.343694
0.0,-28.316252,11.643106,7.484785
0.0,-28.169056,11.656243,7.531511
0.0,-27.968096,11.691034,7.563795
0.0,-27.788109,11.689796,7.6384287
0.0,-27.593601,11.716074,7.579244
0.0,-27.431046,11.73883,7.5386996
0.0,-27.263472,11.727146,7.459488
0.0,-27.149734,11.732424,7.3308635
0.0,-27.115635,11.764354,7.2107325
0.0,-26.999708,11.797921,7.151638
0.0,-26.916948,11.806668,7.143159
0.0,-26.882092,11.7942295,7.143687
0.0,-26.815353,11.776422,7.1794567
0.0,-26.726557,11.760005,7.233768
0.0,-26.576538,11.743206,7.2062387
0.0,-26.515009,11.7585945,7.1220427
0.0,-26.42505,11.75125,7.010862
0.0,-26.423367,11.742492,6.91586
0.0,-26.378408,11.740317,6.848027
0.0,-26.30582,11.714414,6.8397
0.0,-26.241796,11.71369,6.7356853
0.0,-26.195974,11.71335,6.585289
0.0,-26.209553,11.707457,6.43889
0.0,-26.239637,11.705052,6.29701
0.0,-26.172874,11.701673,6.227159
0.0,-26.118572,11.678389,6.1427402
0.0,-26.119526,11.667007,6.083343
0.0,-26.097498,11.656887,6.028623
0.0,-26.113121,11.628977,6.0287423
0.0,-26.088108,11.592935,5.9744277
0.0,-26.093357,11.553265,5.920688
