Env,x,y,z
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0028413483,0.042232726,5.50095e-05
0.0,0.3283944,-0.040999003,-0.0015639663
0.0,0.5792339,-0.13189054,-0.0045723915
0.0,0.7726083,-0.22258604,-0.0064950436
0.0,0.9219613,-0.30808705,-0.0067962706
0.0,1.0375583,-0.3854267,-0.0056871474
0.0,1.1272767,-0.45303088,-0.003589958
0.0,1.1971858,-0.51027244,-0.0009201467
0.0,1.2519802,-0.5571648,0.001985699
0.0,1.2951999,-0.59416085,0.0048761666
0.0,1.3295163,-0.621989,0.0075672865
0.0,1.3569593,-0.64152783,0.009924054
0.0,1.3790755,-0.6537205,0.0118432045
0.0,1.3970453,-0.6595177,0.01324144
0.0,1.4117699,-0.6598395,0.014047265
0.0,1.4239472,-0.6555756,0.014196187
0.0,1.43412,-0.6475698,0.013628125
0.0,1.4426932,-0.6365995,0.012285829
0.0,1.4499699,-0.62335443,0.010112792
0.0,1.4561534,-0.60842454,0.0070535094
0.0,1.4613924,-0.5923137,0.0030561686
0.0,1.4658002,-0.57544434,-0.0019258708
0.0,1.4694631,-0.5581625,-0.007932827
0.0,1.47244,-0.5407427,-0.014999256
0.0,1.4747478,-0.52342975,-0.02315408
0.0,1.4763793,-0.50643176,-0.032418743
0.0,1.4773293,-0.48990414,-0.042806096
0.0,1.4775889,-0.4739524,-0.054321088
0.0,1.4770949,-0.45867532,-0.06696195
0.0,1.4757731,-0.44415435,-0.08071807
0.0,1.4735616,-0.43043748,-0.09557067
0.0,1.470419,-0.4175598,-0.11148983
0.0,1.4663091,-0.40553817,-0.12843798
0.0,1.4611928,-0.39436042,-0.14636955
0.0,1.4550248,-0.38398698,-0.1652306
0.0,1.4477708,-0.37435937,-0.18495962
0.0,1.4395144,-0.36545402,-0.20548531
0.0,1.4303848,-0.3572718,-0.22672969
0.0,1.4204834,-0.34980595,-0.24861105
0.0,1.4098762,-0.34303653,-0.27104375
0.0,1.3985803,-0.33692363,-0.29393834
0.0,1.3866162,-0.3314284,-0.31720102
0.0,1.374005,-0.32650927,-0.34073472
0.0,1.3607641,-0.32211995,-0.36443958
0.0,1.3469133,-0.31821233,-0.38821337
0.0,1.3324711,-0.31473747,-0.41195238
0.0,1.3174533,-0.3116445,-0.43555188
0.0,1.3018758,-0.30888313,-0.45890644
0.0,1.2857566,-0.30640358,-0.48191172
0.0,1.269112,-0.30415687,-0.5044632
0.0,1.2519579,-0.30209446,-0.5264588
0.0,1.2343099,-0.30016845,-0.54779804
0.0,1.2161809,-0.29833102,-0.5683825
0.0,1.19758,-0.2965242,-0.5881171
0.0,1.1785161,-0.29469123,-0.60690993
0.0,1.1590002,-0.29278192,-0.6246727
0.0,1.1390419,-0.29074946,-0.64132077
0.0,1.1186502,-0.28855225,-0.6567743
0.0,1.0978416,-0.28614625,-0.67095727
0.0,1.0766417,-0.28348374,-0.6837992
0.0,1.055066,-0.280522,-0.69523346
0.0,1.0331239,-0.277226,-0.70519936
0.0,1.0108163,-0.27356732,-0.71363974
0.0,0.98814136,-0.26952335,-0.72050315
0.0,0.9650906,-0.2650774,-0.7257426
0.0,0.94165486,-0.26021773,-0.7293172
0.0,0.9178233,-0.25493595,-0.73119
0.0,0.8935884,-0.24923033,-0.73133105
0.0,0.8689394,-0.2431015,-0.72971505
0.0,0.8438628,-0.23655468,-0.7263219
0.0,0.81834394,-0.22960016,-0.72113836
0.0,0.79237455,-0.22225006,-0.7141565
0.0,0.76608527,-0.21449189,-0.70537937
0.0,0.7396312,-0.20630726,-0.69481575
0.0,0.7131356,-0.19768788,-0.682482
0.0,0.6866962,-0.18863137,-0.66840076
0.0,0.6603899,-0.17914227,-0.65260017
0.0,0.63427794,-0.16923311,-0.63511646
0.0,0.6084091,-0.15892032,-0.61599267
0.0,0.582822,-0.14822821,-0.5952797
0.0,0.55754715,-0.1371834,-0.5730351
0.0,0.53260875,-0.12581703,-0.5493247
0.0,0.50802606,-0.11416247,-0.5242212
0.0,0.48381433,-0.10225565,-0.49780485
0.0,0.45998648,-0.09013288,-0.47016364
0.0,0.4365523,-0.077830955,-0.44139147
0.0,0.4135201,-0.06538673,-0.4115887
0.0,0.39090094,-0.052836172,-0.38086265
0.0,0.36870486,-0.040213794,-0.34932506
0.0,0.3469573,-0.027580217,-0.3170922
0.0,0.32569063,-0.01501251,-0.28428426
0.0,0.30492774,-0.0025756434,-0.2510244
0.0,0.28468496,0.009676971,-0.2174377
0.0,0.264974,0.021704592,-0.18365104
0.0,0.24580109,0.03347964,-0.14979154
0.0,0.22716853,0.04498855,-0.115985945
0.0,0.20907538,0.056228258,-0.08235978
0.0,0.19151852,0.067208275,-0.049036413
0.0,0.17449252,0.07794801,-0.0161361
0.0,0.15799081,0.08847515,0.016224327
0.0,0.14200589,0.09882629,0.047932576
0.0,0.12653016,0.109044105,0.0788814
0.0,0.111555085,0.119176954,0.10896901
0.0,0.09707177,0.12927713,0.13809973
0.0,0.08307075,0.13940327,0.16618434
0.0,0.06954227,0.14961608,0.19314033
0.0,0.056477297,0.15997654,0.21889237
0.0,0.043868557,0.17054643,0.24337173
0.0,0.031715438,0.18138134,0.26651725
0.0,0.020016871,0.1925359,0.28827477
0.0,0.008770958,0.20405605,0.30859724
0.0,-0.0020250455,0.21596298,0.32744575
0.0,-0.012371294,0.22824466,0.344788
0.0,-0.02226492,0.24087664,0.3605986
0.0,-0.031705186,0.25383344,0.37485892
0.0,-0.040692627,0.26708573,0.38755608
0.0,-0.04922899,0.28060135,0.39868453
0.0,-0.057316694,0.29434362,0.4082437
0.0,-0.064958006,0.30827165,0.41623884
0.0,-0.07215373,0.3223379,0.42268097
0.0,-0.07890217,0.3364339,0.4275862
0.0,-0.08517357,0.35042822,0.43097278
0.0,-0.09094675,0.3642009,0.4328645
0.0,-0.09621306,0.37764502,0.43329078
0.0,-0.10097337,0.39066848,0.43228525
0.0,-0.10523179,0.4031845,0.4298874
0.0,-0.108992614,0.41511425,0.42614
0.0,-0.11226941,0.4263876,0.42109126
0.0,-0.115082525,0.4369422,0.41479334
0.0,-0.11745764,0.44672644,0.40730298
0.0,-0.11942385,0.4556921,0.3986808
0.0,-0.12101249,0.4637991,0.38899136
0.0,-0.12225663,0.47101033,0.37830144
0.0,-0.1231895,0.47729406,0.36668235
0.0,-0.12384347,0.482625,0.35420612
0.0,-0.12424961,0.4869845,0.340948
0.0,-0.124437355,0.49035874,0.32698458
0.0,-0.124435015,0.4927401,0.31239367
0.0,-0.124268994,0.49412566,0.29725498
0.0,-0.12396416,0.49451613,0.28164726
0.0,-0.12354322,0.4939205,0.2656513
0.0,-0.123025924,0.49235234,0.24934599
0.0,-0.12242961,0.48983157,0.23281093
0.0,-0.12176978,0.48638052,0.21612394
0.0,-0.12105879,0.48202682,0.1993622
0.0,-0.12030557,0.47680578,0.18260077
0.0,-0.1195165,0.4707568,0.16591322
0.0,-0.11869494,0.46392423,0.14937082
0.0,-0.11784316,0.4563574,0.13304222
0.0,-0.116967514,0.44811195,0.11699499
0.0,-0.11607833,0.43925056,0.101294115
0.0,-0.115184486,0.42983764,0.086001694
0.0,-0.114293344,0.41994044,0.07117669
0.0,-0.113410935,0.40962496,0.05687526
0.0,-0.11254224,0.3989572,0.043149546
0.0,-0.11169104,0.38800067,0.03004846
0.0,-0.11086044,0.37681603,0.017617472
0.0,-0.110052556,0.36546275,0.0058983043
0.0,-0.10926917,0.35399505,-0.0050710365
0.0,-0.108511075,0.3424662,-0.015256077
0.0,-0.10777573,0.3309335,-0.024626419
0.0,-0.10705751,0.31945848,-0.033155598
0.0,-0.10635094,0.3080955,-0.04082083
0.0,-0.10565193,0.29689676,-0.04760306
0.0,-0.10495553,0.28590512,-0.053486895
0.0,-0.10425723,0.27515784,-0.05846078
0.0,-0.10355341,0.26468644,-0.06251682
0.0,-0.10284128,0.25451759,-0.06565071
0.0,-0.10211861,0.24467109,-0.067861885
0.0,-0.10138358,0.23516186,-0.069153264
0.0,-0.100634605,0.22600079,-0.069531515
0.0,-0.09987027,0.21719393,-0.0690067
0.0,-0.09908919,0.20874536,-0.06759244
0.0,-0.09828994,0.20065755,-0.065305755
0.0,-0.097469695,0.19293687,-0.062167045
0.0,-0.09662566,0.18558735,-0.05820012
0.0,-0.09575624,0.17861103,-0.05343171
0.0,-0.0948602,0.17200647,-0.047891516
0.0,-0.093936145,0.16577041,-0.04161238
0.0,-0.09298289,0.15989557,-0.03462964
0.0,-0.09199909,0.15437272,-0.026981324
