Env,roll,pitch,yaw
0.0,-4.7421827e-14,-5.9087124e-10,-5.4214157e-14
0.0,-0.14163949,0.013335855,-0.46731088
0.0,-0.14163288,0.013457265,-0.4673686
0.0,-0.1405854,0.013337242,-0.46731704
0.0,-0.13873483,0.012951012,-0.46715176
0.0,-0.13626452,0.012298931,-0.46687365
0.0,-0.13331558,0.011396006,-0.46649015
0.0,-0.12999673,0.010265352,-0.46601334
0.0,-0.1263918,0.00893423,-0.4654584
0.0,-0.12256523,0.0074315076,-0.46484187
0.0,-0.11856637,0.005786067,-0.46418005
0.0,-0.11443301,0.0040256586,-0.4634886
0.0,-0.11019423,0.0021761577,-0.46278185
0.0,-0.105872236,0.00026116933,-0.46207222
0.0,-0.10148415,-0.0016981636,-0.46137065
0.0,-0.097043075,-0.0036832374,-0.46068642
0.0,-0.09255905,-0.005677934,-0.46002734
0.0,-0.0880397,-0.0076685776,-0.45939973
0.0,-0.08349091,-0.009643882,-0.45880905
0.0,-0.07891707,-0.011594733,-0.45825952
0.0,-0.07432165,-0.013513997,-0.4577549
0.0,-0.06970738,-0.015396224,-0.4572981
0.0,-0.06507654,-0.017237423,-0.4568919
0.0,-0.060430955,-0.019034786,-0.4565386
0.0,-0.055772234,-0.020786485,-0.4562403
0.0,-0.05110177,-0.02249145,-0.45599923
0.0,-0.0464209,-0.024149267,-0.45581737
0.0,-0.041730974,-0.025760058,-0.4556967
0.0,-0.03703336,-0.02732432,-0.45563927
0.0,-0.03232944,-0.028842768,-0.45564717
0.0,-0.027620802,-0.030316303,-0.4557224
0.0,-0.022909269,-0.031745974,-0.4558671
0.0,-0.01819686,-0.033132832,-0.4560834
0.0,-0.013485722,-0.034477934,-0.4563733
0.0,-0.008778127,-0.03578227,-0.45673895
0.0,-0.004076477,-0.03704668,-0.45718235
0.0,0.00061665056,-0.038271748,-0.45770523
0.0,0.0052985623,-0.039457817,-0.45830947
0.0,0.009966792,-0.040605046,-0.45899665
0.0,0.01461925,-0.041713532,-0.45976815
0.0,0.019254118,-0.0427833,-0.46062508
0.0,0.023869747,-0.04381429,-0.46156844
0.0,0.028464483,-0.044806276,-0.462599
0.0,0.033036657,-0.04575892,-0.463717
0.0,0.037584614,-0.046671737,-0.4649227
0.0,0.04210667,-0.047544204,-0.46621576
0.0,0.046601098,-0.048375633,-0.4675958
0.0,0.051066183,-0.04916531,-0.46906188
0.0,0.05550012,-0.049912427,-0.47061288
0.0,0.05990107,-0.05061617,-0.47224727
0.0,0.06426715,-0.051275674,-0.47396305
0.0,0.06859641,-0.051890116,-0.47575802
0.0,0.07288687,-0.052458696,-0.47762957
0.0,0.077136435,-0.052980617,-0.47957474
0.0,0.08134302,-0.05345521,-0.4815902
0.0,0.085504375,-0.05388181,-0.48367232
0.0,0.08961828,-0.05425982,-0.4858172
0.0,0.09368232,-0.05458876,-0.48802045
0.0,0.097694136,-0.05486827,-0.4902776
0.0,0.10165125,-0.055098124,-0.49258366
0.0,0.10555117,-0.055278227,-0.49493378
0.0,0.10939139,-0.055408627,-0.49732232
0.0,0.113169454,-0.055489544,-0.4997439
0.0,0.11688282,-0.05552137,-0.50219274
0.0,0.120528944,-0.055504676,-0.50466293
0.0,0.124105215,-0.055440255,-0.5071483
