Env,x,y,z
0.0,0.0,0.0,-0.04905
0.0,-31.969614,10.612204,5.1169915
0.0,-31.963785,10.654392,5.0147514
0.0,-31.902899,10.696739,4.9874444
0.0,-31.852974,10.755929,4.971458
0.0,-31.80919,10.827126,4.955925
0.0,-31.768633,10.9072275,4.9337773
0.0,-31.72949,10.994056,4.900565
0.0,-31.690624,11.085867,4.853629
0.0,-31.651403,11.1812105,4.7915573
0.0,-31.611546,11.27882,4.713828
0.0,-31.571054,11.377605,4.620509
0.0,-31.530123,11.476561,4.5120993
0.0,-31.489096,11.574816,4.3894005
0.0,-31.448378,11.671564,4.25341
0.0,-31.408424,11.766074,4.1052384
0.0,-31.369678,11.857685,3.9460533
0.0,-31.332554,11.945771,3.777061
0.0,-31.29742,12.029761,3.5994716
0.0,-31.264605,12.109102,3.4144542
0.0,-31.234385,12.183299,3.2231596
0.0,-31.20697,12.251839,3.026668
0.0,-31.182526,12.3142395,2.8260043
0.0,-31.161179,12.370053,2.6221294
0.0,-31.143024,12.418848,2.415926
0.0,-31.128117,12.460174,2.208221
0.0,-31.11649,12.493626,1.99979
0.0,-31.10816,12.518787,1.7913585
0.0,-31.10314,12.535307,1.5835972
0.0,-31.101414,12.542803,1.3771478
0.0,-31.102982,12.540928,1.1725949
0.0,-31.107826,12.529378,0.9704932
0.0,-31.115929,12.507836,0.7713964
0.0,-31.127272,12.476042,0.5757923
0.0,-31.14184,12.433748,0.38416004
0.0,-31.159607,12.380764,0.1969409
0.0,-31.180563,12.316892,0.014526367
0.0,-31.204659,12.241993,-0.16271174
0.0,-31.231886,12.155984,-0.3344369
0.0,-31.262182,12.058776,-0.5003346
0.0,-31.295507,11.950356,-0.660128
0.0,-31.33181,11.830723,-0.8135786
0.0,-31.371042,11.699923,-0.9604859
0.0,-31.413137,11.558047,-1.1006935
0.0,-31.458021,11.405224,-1.2340653
0.0,-31.505606,11.24158,-1.3604795
0.0,-31.555803,11.067334,-1.4798751
0.0,-31.608503,10.882705,-1.5921922
0.0,-31.66359,10.68795,-1.6974094
0.0,-31.720917,10.483355,-1.7955225
0.0,-31.78035,10.269246,-1.8865528
0.0,-31.841702,10.045977,-1.9705473
0.0,-31.904823,9.813932,-2.0475662
0.0,-31.9695,9.57353,-2.1177022
0.0,-32.035534,9.325206,-2.181052
0.0,-32.102707,9.06943,-2.2377455
0.0,-32.170784,8.806688,-2.2879262
0.0,-32.239525,8.537508,-2.331757
0.0,-32.308674,8.262406,-2.369409
0.0,-32.37799,7.9819627,-2.4010727
0.0,-32.44719,7.6967387,-2.4269452
0.0,-32.516026,7.4073343,-2.447242
0.0,-32.584194,7.114346,-2.4621875
0.0,-32.651466,6.8184204,-2.4720242
0.0,-32.717556,6.520187,-2.4769871
0.0,-32.78221,6.220288,-2.4773295
0.0,-32.845173,5.919379,-2.473292
0.0,-32.90621,5.618137,-2.4651358
0.0,-32.9651,5.3172297,-2.4531116
