Env,px,py,pz,q1,q2,q3,q4,vx,vy,vz,wx,wy,wz
0.0,0.0,0.0,49.999264,-7.4490036e-14,-9.2813845e-10,-8.5159405e-14,1.0,0.01039896,0.0,-0.15301776,-0.03842684,0.055521082,-0.0001110207
0.0,0.0,0.0,10.553948,-0.15010804,0.16294965,-0.64979583,0.7271041,8.439202,32.977127,1.2792196,0.038156092,0.0018417382,-0.01823185
0.0,0.0,0.0,10.566741,-0.14996046,0.163094,-0.6498296,0.727072,8.477608,32.919094,1.2462378,-0.0038358234,-0.33091703,0.0023409259
0.0,0.0,0.0,10.579204,-0.14890091,0.16187654,-0.65007144,0.7273456,8.524044,32.876163,1.231211,-0.061009433,-0.59027576,0.027933257
0.0,0.0,0.0,10.591516,-0.14722613,0.15951008,-0.65045583,0.7278655,8.569494,32.843548,1.2155373,-0.123539224,-0.7924938,0.056584254
0.0,0.0,0.0,10.603671,-0.14514227,0.15618123,-0.65092653,0.72858477,8.608502,32.818268,1.1878312,-0.18538359,-0.9503747,0.086008824
0.0,0.0,0.0,10.615549,-0.14278997,0.15205152,-0.65143996,0.72946376,8.638194,32.798225,1.1415957,-0.24293743,-1.0737908,0.1143165
0.0,0.0,0.0,10.626965,-0.14026326,0.1472599,-0.65196437,0.73046786,8.657475,32.78178,1.0736392,-0.2941451,-1.1703974,0.14018157
0.0,0.0,0.0,10.637701,-0.13762295,0.14192542,-0.65247774,0.7315668,8.666424,32.767612,0.983002,-0.3379531,-1.2461594,0.16280833
0.0,0.0,0.0,10.6475315,-0.13490635,0.13614972,-0.6529657,0.73273414,8.665843,32.754658,0.87021756,-0.37397197,-1.3057463,0.18182987
0.0,0.0,0.0,10.656234,-0.13213411,0.13001923,-0.6534196,0.7339472,8.656941,32.742092,0.73679245,-0.40228215,-1.3527287,0.19719793
0.0,0.0,0.0,10.663602,-0.1293158,0.12360736,-0.6538345,0.73518646,8.641113,32.729317,0.5848383,-0.42327464,-1.3898447,0.2090723
0.0,0.0,0.0,10.66945,-0.12645388,0.1169763,-0.6542086,0.7364354,8.619779,32.715927,0.41679406,-0.43752602,-1.4192106,0.21773103
0.0,0.0,0.0,10.673617,-0.123546496,0.11017858,-0.6545417,0.7376803,8.594293,32.701683,0.23523614,-0.44571695,-1.4424702,0.22350785
0.0,0.0,0.0,10.67597,-0.120589316,0.1032584,-0.6548348,0.7389096,8.56588,32.686485,0.04273866,-0.44857308,-1.4609044,0.22674872
0.0,0.0,0.0,10.676397,-0.117576905,0.096252725,-0.65509,0.74011374,8.535608,32.670334,-0.1582147,-0.44682503,-1.4755137,0.2277842
0.0,0.0,0.0,10.674815,-0.114503585,0.08919231,-0.6553096,0.7412847,8.50438,32.653305,-0.36528164,-0.44120264,-1.4870955,0.22692168
0.0,0.0,0.0,10.671163,-0.1113641,0.08210244,-0.65549654,0.742416,8.47293,32.635517,-0.5763056,-0.43241543,-1.4962881,0.22443508
0.0,0.0,0.0,10.6654,-0.10815398,0.07500357,-0.6556538,0.743502,8.441831,32.617126,-0.7893425,-0.4211323,-1.503588,0.22055581
0.0,0.0,0.0,10.657506,-0.104869835,0.067912005,-0.65578455,0.7445381,8.411507,32.5983,-1.0026714,-0.40795442,-1.5093813,0.21546735
0.0,0.0,0.0,10.647479,-0.101509385,0.06084052,-0.655892,0.74552006,8.382251,32.57921,-1.2148056,-0.39340523,-1.513947,0.20930481
0.0,0.0,0.0,10.635331,-0.09807152,0.053799063,-0.6559794,0.74644405,8.35424,32.560005,-1.424474,-0.37793374,-1.5175004,0.20216495
0.0,0.0,0.0,10.621086,-0.09455625,0.046795245,-0.65605026,0.74730676,8.327558,32.540833,-1.630611,-0.36191437,-1.5202132,0.19411278
0.0,0.0,0.0,10.60478,-0.090964474,0.03983474,-0.656108,0.74810493,8.302209,32.52181,-1.8323368,-0.3456515,-1.5222222,0.18518768
0.0,0.0,0.0,10.586457,-0.08729787,0.032921664,-0.65615624,0.7488353,8.278137,32.503036,-2.0289357,-0.3293839,-1.5236288,0.17540827
0.0,0.0,0.0,10.566168,-0.08355875,0.026058927,-0.65619856,0.7494948,8.255241,32.484592,-2.21983,-0.31332517,-1.52449,0.16478074
0.0,0.0,0.0,10.543969,-0.07975011,0.019248486,-0.6562386,0.7500801,8.233384,32.46654,-2.4045682,-0.29765603,-1.5248345,0.15330158
0.0,0.0,0.0,10.519923,-0.07587561,0.012491569,-0.6562804,0.75058836,8.212401,32.44892,-2.582818,-0.28250223,-1.5246845,0.14096017
