Env,fx,fy,fz
0.0,0.0009228489,3.635773e-12,0.015858902
0.0,0.9408259,-1.5087426e-06,-0.56823725
0.0,6.484558,0.13591707,0.19129741
0.0,2.2011042,0.29008675,-8.767012
0.0,1.8275052,0.4009316,-8.299526
0.0,1.0839285,0.51735425,-11.27623
0.0,8.787064,0.8722036,-15.291489
0.0,7.495598,0.99706817,-13.22738
0.0,0.6934793,0.9172901,-5.686001
0.0,3.2812445,1.1121422,-3.654906
0.0,6.8102117,1.3278863,-5.453969
0.0,6.670014,1.4838803,5.524439
0.0,1.5842797,1.2618382,1.4723108
0.0,2.912402,1.4453194,2.3212378
0.0,6.23913,1.7735877,8.781372
0.0,4.4116426,1.7555344,4.555591
0.0,3.2141361,1.6594342,4.801961
0.0,2.0647812,1.6691381,2.2205787
0.0,2.3938816,1.7620826,3.522726
0.0,2.4937432,1.7233286,-0.7701208
0.0,1.0266291,1.6355989,2.344424
0.0,4.0522394,1.8571458,6.8808584
0.0,4.105142,1.8563044,0.549484
0.0,1.1937243,1.7252016,5.5932074
0.0,5.286333,1.9174707,1.0275962
0.0,5.1859417,1.9789896,10.836008
0.0,5.3127737,1.9141254,10.243362
0.0,2.211672,1.5975624,3.0674813
0.0,8.550625,1.8615282,0.86138296
0.0,4.48453,1.5309167,8.331009
0.0,2.9419966,1.298157,5.3242054
0.0,2.7936373,1.1389487,8.91316
0.0,3.331708,1.0201325,9.306403
0.0,7.638121,1.0881939,8.925249
0.0,3.0362563,0.90594256,4.1352763
0.0,3.1760118,0.76500434,0.503965
0.0,1.8360426,0.68262225,-1.6723033
0.0,4.040033,0.63820136,-3.3698378
0.0,0.33586594,0.47176528,2.462153
0.0,5.52639,0.42870122,-0.9874894
0.0,1.1937718,0.3507769,5.851906
0.0,0.36205328,0.22059393,5.330104
0.0,2.6858234,0.12342334,3.8330936
0.0,3.3157368,0.07422614,7.853034
0.0,6.3544736,-0.12774849,10.149759
0.0,2.6336913,-0.24141407,5.072695
0.0,2.3570585,-0.28676248,1.0707349
0.0,1.0107715,-0.31585336,5.5812454
0.0,2.8271806,-0.46334544,0.50952286
0.0,4.685347,-0.559165,7.7066917
0.0,4.910752,-0.634027,6.578432
