Env,x,y,z
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0
0.0,-0.15715063,0.034923233,-0.0030440167
0.0,0.13955264,-0.13617681,0.01848042
0.0,-0.07356879,-0.015223701,-0.0016545914
0.0,-0.24133858,-0.013856158,-0.018452287
0.0,-0.24861619,0.097937874,-0.013091907
0.0,0.06567167,0.48700795,0.044167336
0.0,0.30905524,0.85638636,0.088129476
0.0,0.20994079,0.89493173,0.09445439
0.0,-0.10567358,0.939039,0.088584825
0.0,0.16685355,1.238807,0.11484794
0.0,-0.14203152,1.0385631,0.13835499
0.0,0.041343033,1.0689099,0.1554519
0.0,0.2882403,1.1174062,0.17072949
0.0,0.4742432,0.8874829,0.19934224
0.0,0.10358739,0.8206082,0.23222478
0.0,0.33600205,0.71595806,0.25543785
0.0,0.5178435,0.7262082,0.278183
0.0,0.26272112,0.65585643,0.30794513
0.0,0.1636883,0.8326813,0.32865787
0.0,0.24817345,0.85597104,0.3511675
0.0,0.42475498,0.6837226,0.38019502
0.0,0.59499663,0.8685595,0.3979734
0.0,0.63177204,0.78856397,0.42554224
0.0,0.7607909,1.0360714,0.440768
0.0,0.71331596,0.7950672,0.48289397
0.0,0.57320064,0.5594733,0.5273044
0.0,0.7124126,0.6305585,0.542761
0.0,0.2966647,0.8796101,0.57361007
0.0,-0.007783115,0.7236915,0.6132158
0.0,-0.27931666,0.7372482,0.64338076
0.0,-0.44505477,0.5758039,0.67121935
0.0,-0.3300111,0.3732372,0.68238044
0.0,-0.018505156,0.1402279,0.6888664
0.0,-0.27838105,0.04176545,0.7065923
0.0,0.025552213,0.061583273,0.71906954
0.0,0.16986465,0.18657276,0.73011446
0.0,0.07140258,0.4566895,0.73548305
0.0,0.124875605,0.4133887,0.742753
0.0,0.34980363,0.65797466,0.7443569
0.0,0.20002314,0.56039256,0.75553787
0.0,0.2408643,0.5211401,0.75665003
0.0,0.44157815,0.60222846,0.7475522
0.0,0.15100902,0.48680425,0.76647806
0.0,-0.09735024,0.25692138,0.7793418
0.0,0.16340035,0.19456807,0.7656082
0.0,0.28345922,0.34278536,0.758655
0.0,0.29038873,0.22524981,0.7530935
0.0,0.4223488,0.39238816,0.74433714
0.0,0.5359494,0.18346733,0.7314087
0.0,0.67817587,-0.015483439,0.71813077
0.0,0.7975851,0.2334439,0.70892704
0.0,0.57670444,0.19235492,0.70072186
0.0,0.40163714,0.4068925,0.6914277
0.0,0.5680924,0.63296545,0.67721194
0.0,0.70039463,0.7639484,0.6604663
0.0,0.6159765,0.590285,0.6513711
0.0,0.27274877,0.37424827,0.65811706
0.0,0.45627046,0.31231132,0.6310003
0.0,0.60596,0.14008412,0.60284525
0.0,0.43764234,0.06746824,0.59196687
0.0,0.59111226,-0.057153024,0.56898177
0.0,0.29369384,-0.13976122,0.5497988
0.0,0.033765033,0.029777803,0.5291374
0.0,-0.18674141,-0.0076306313,0.50521344
0.0,-0.08472173,-0.07778734,0.48602983
0.0,0.15972658,-0.21913503,0.4679743
0.0,0.16193008,-0.3616708,0.44195276
0.0,0.109908745,-0.26730976,0.42105803
0.0,0.2727413,-0.14883482,0.4167669
0.0,0.064297125,-0.2210608,0.38055983
0.0,0.041113306,-0.07634046,0.3627867
0.0,0.13116531,-0.047923535,0.35124332
0.0,0.11222686,0.16018048,0.3352485
0.0,0.13626225,0.09657007,0.31730628
0.0,-0.093646005,0.22757879,0.2956207
0.0,-0.16860518,0.41050363,0.280909
0.0,-0.007830113,0.41044855,0.2644636
0.0,0.15358713,0.49899018,0.24830975
0.0,-0.07825112,0.31453145,0.23696963
0.0,-0.027894482,0.14359272,0.21576114
0.0,0.08189909,0.09605791,0.20033142
0.0,-0.028898299,0.3017416,0.19134533
0.0,0.18725054,0.49951893,0.17815153
0.0,0.043312117,0.32007712,0.16891211
0.0,0.06943359,0.23057385,0.15727013
0.0,-0.011233881,0.33062243,0.15200953
0.0,0.1960624,0.17076567,0.13376312
0.0,0.2512528,0.18734562,0.12614639
0.0,0.41176224,0.24144095,0.117599435
0.0,0.32999343,0.07235643,0.1130417
0.0,0.47493544,-0.082495935,0.10658203
0.0,0.594416,0.126571,0.10430433
0.0,0.31592935,0.33125886,0.098758176
0.0,0.4584144,0.2781003,0.09654903
0.0,0.40906632,0.1169533,0.09738064
0.0,0.40434015,-0.0047373325,0.09817138
0.0,0.50516915,-0.008860543,0.10019025
0.0,0.45900473,-0.03833489,0.10160065
0.0,0.3920234,-0.18018562,0.104401976
0.0,0.24581218,-0.3123548,0.10311321
0.0,0.3228891,-0.4339062,0.11370978
0.0,0.45895794,-0.19015004,0.12872274
0.0,0.2013792,-0.22667362,0.113612905
0.0,0.31568107,-0.09798471,0.12830012
0.0,0.44919348,0.1343706,0.14357208
0.0,0.29513544,0.14724103,0.14286695
0.0,0.23576207,0.1814705,0.14780876
0.0,0.3311277,0.054511063,0.16214757
0.0,0.26468456,-0.049516786,0.17198174
0.0,0.40232342,-0.17849018,0.19088624
0.0,0.31672502,-0.21645683,0.197287
0.0,0.44528857,-0.033957586,0.2135199
0.0,0.42293268,-0.15245086,0.22844097
0.0,0.29626134,-0.22150722,0.23392795
0.0,0.4088408,-0.13443694,0.25224552
0.0,0.31209055,-0.24292967,0.26229927
0.0,0.35853478,-0.238212,0.27821848
0.0,0.47701156,-0.008131325,0.29769653
0.0,0.5371275,0.014613628,0.31456822
0.0,0.62460124,0.1194381,0.33082384
0.0,0.697151,0.32668626,0.34394276
0.0,0.64585775,0.2651463,0.35896572
0.0,0.45958322,0.13324298,0.37648863
0.0,0.3310023,0.17752054,0.38546288
0.0,0.09654778,0.36390978,0.39236566
0.0,0.07851748,0.2231647,0.4088303
