Env,roll,pitch,yaw
0.0,-4.7421827e-14,-5.9087124e-10,-5.4214157e-14
0.0,0.4593419,0.09972923,-0.36139342
0.0,0.45887703,0.09975306,-0.36127883
0.0,0.45918447,0.0996391,-0.36172274
0.0,0.45893455,0.09963811,-0.361774
0.0,0.45814976,0.09969063,-0.36182797
0.0,0.45745668,0.099773124,-0.36150894
0.0,0.45816997,0.09983861,-0.35987407
0.0,0.46004263,0.09990964,-0.356994
0.0,0.46164086,0.09996083,-0.35398284
0.0,0.46227962,0.1000372,-0.35082704
0.0,0.46409824,0.10012906,-0.3466639
0.0,0.46473065,0.100060254,-0.34315765
0.0,0.46597868,0.09993793,-0.3395448
0.0,0.46806204,0.099765256,-0.3357665
0.0,0.47050098,0.09940588,-0.33274707
0.0,0.47168988,0.09890661,-0.3299438
0.0,0.47350845,0.09829246,-0.32748646
0.0,0.4759114,0.09759323,-0.3249949
0.0,0.47742644,0.096768536,-0.3227366
0.0,0.4787956,0.09590698,-0.31989118
0.0,0.48044828,0.0949658,-0.31697035
0.0,0.48248592,0.09388429,-0.31462482
0.0,0.48523274,0.09275924,-0.31167355
0.0,0.48800755,0.09151138,-0.30899745
0.0,0.49140987,0.09021571,-0.3055151
0.0,0.49442083,0.08873533,-0.302846
0.0,0.49675664,0.08708173,-0.30097103
0.0,0.49958447,0.08536567,-0.29887775
0.0,0.50128883,0.08353596,-0.29597893
0.0,0.5018727,0.08157263,-0.29360572
0.0,0.5015875,0.07951196,-0.29119337
0.0,0.50063,0.07736903,-0.28931114
0.0,0.49986944,0.075196035,-0.2880899
0.0,0.49991652,0.073003456,-0.28763044
0.0,0.4990618,0.07075453,-0.2874903
0.0,0.49918807,0.0684662,-0.28728303
0.0,0.499857,0.066143095,-0.2866721
0.0,0.50038505,0.06380144,-0.2851885
0.0,0.50104374,0.06143424,-0.2838522
0.0,0.5025558,0.059053093,-0.28173342
0.0,0.503516,0.056631263,-0.2799432
0.0,0.5045691,0.05420191,-0.2782901
0.0,0.5062899,0.051790055,-0.27638772
0.0,0.5070105,0.049318448,-0.2748704
0.0,0.5068169,0.04682055,-0.27409792
0.0,0.5074185,0.04437032,-0.27352738
0.0,0.5084613,0.04192899,-0.27248722
0.0,0.50946915,0.039512593,-0.2718327
0.0,0.5109553,0.037104443,-0.27065182
0.0,0.5127176,0.034756217,-0.27015162
0.0,0.5148606,0.032474644,-0.2703007
0.0,0.51746136,0.030183267,-0.26967004
0.0,0.5193412,0.027921164,-0.26918566
0.0,0.52071697,0.025643215,-0.2680273
0.0,0.52266896,0.023355419,-0.2661585
0.0,0.52505684,0.021076892,-0.26388556
0.0,0.5271245,0.018856658,-0.26217934
0.0,0.5280489,0.01666656,-0.2611723
0.0,0.52954096,0.014576418,-0.26036277
0.0,0.5314809,0.012623646,-0.2601023
0.0,0.5328748,0.010727306,-0.2600788
0.0,0.5347448,0.008945696,-0.26045182
0.0,0.53566355,0.007255427,-0.26108736
0.0,0.5357691,0.0055710985,-0.26118177
0.0,0.53517157,0.0039756144,-0.26138476
0.0,0.53489774,0.0024651063,-0.26180083
0.0,0.5354014,0.0010614607,-0.26265824
0.0,0.5359151,-0.00020782747,-0.26395953
0.0,0.5362675,-0.0014432144,-0.26495662
0.0,0.5371397,-0.0027065238,-0.26557982
0.0,0.53735304,-0.0038274354,-0.26642016
0.0,0.53748906,-0.0049457396,-0.26679695
0.0,0.53791153,-0.0060379165,-0.26708058
0.0,0.5382609,-0.007158271,-0.2667016
0.0,0.53869015,-0.008197997,-0.2665182
0.0,0.5383755,-0.009219586,-0.26591247
0.0,0.53780246,-0.010263328,-0.26472136
0.0,0.537737,-0.0112538785,-0.26352298
0.0,0.53817123,-0.012227602,-0.26203898
0.0,0.53788614,-0.013095848,-0.26113412
0.0,0.53778154,-0.013831984,-0.26076135
0.0,0.5380321,-0.014501482,-0.26053327
0.0,0.53789896,-0.015220516,-0.25965115
0.0,0.5384209,-0.015973672,-0.25813857
0.0,0.5385102,-0.016630251,-0.25719073
0.0,0.5386957,-0.017215962,-0.25652182
0.0,0.5386057,-0.017823743,-0.2555343
0.0,0.53920203,-0.018312626,-0.25504586
0.0,0.5399702,-0.018785015,-0.25450307
0.0,0.5412381,-0.01925406,-0.25378713
0.0,0.54227746,-0.019640906,-0.2536055
0.0,0.5438083,-0.019941688,-0.25391203
0.0,0.545678,-0.02032685,-0.25355893
0.0,0.54661906,-0.02079025,-0.2525589
0.0,0.5480234,-0.0212253,-0.25172713
0.0,0.5493039,-0.02158835,-0.25140572
0.0,0.5505953,-0.021894628,-0.25146955
0.0,0.5522088,-0.022204863,-0.25154886
0.0,0.5536821,-0.022503601,-0.25172317
0.0,0.5549742,-0.022733659,-0.2523464
0.0,0.555831,-0.022884738,-0.25338513
0.0,0.5569616,-0.02299759,-0.25481212
0.0,0.5584712,-0.02329145,-0.25548318
0.0,0.5591694,-0.023514364,-0.25626096
0.0,0.5602028,-0.023857439,-0.25664455
0.0,0.56160736,-0.024387445,-0.25631064
0.0,0.5625179,-0.024924394,-0.25593778
0.0,0.56323075,-0.025499085,-0.25546226
0.0,0.5642793,-0.026039422,-0.25539467
0.0,0.56514376,-0.026543748,-0.2556605
0.0,0.56648177,-0.027021786,-0.25634366
0.0,0.56755906,-0.02749191,-0.25715166
0.0,0.5689984,-0.028132977,-0.2574029
0.0,0.5704012,-0.028737353,-0.25803706
0.0,0.57142216,-0.029307783,-0.25889277
0.0,0.57277936,-0.029994087,-0.2594927
0.0,0.57386285,-0.030630412,-0.26044044
0.0,0.57509613,-0.031316068,-0.26138783
0.0,0.5766394,-0.032230776,-0.26163793
0.0,0.5783694,-0.033213772,-0.26183525
0.0,0.580346,-0.034328055,-0.26172602
0.0,0.5824846,-0.0356503,-0.2609925
0.0,0.58448094,-0.036972668,-0.26047027
0.0,0.58593297,-0.038240574,-0.2603776
0.0,0.58696014,-0.039574146,-0.26016074
0.0,0.58716834,-0.04108955,-0.25937653
0.0,0.5873745,-0.04253463,-0.25904217
