Env,px,py,pz,q1,q2,q3,q4,vx,vy,vz,wx,wy,wz
0.0,-1.1368684e-13,-5.684342e-14,-0.00073575,-7.4490036e-14,-9.2813845e-10,-8.5159405e-14,1.0,1.8456418e-05,7.2759575e-14,-0.14683282,1.4895066e-06,-0.00014577883,-1.15402685e-07
0.0,-0.08761565,0.24861023,4.406746,0.61309355,-0.25204143,-0.4856286,0.5698739,-8.744357,24.850758,8.778457,-0.051837545,0.1291281,0.081018664
0.0,-0.17505921,0.49711782,4.4945307,0.6127342,-0.2515509,-0.48572809,0.57039213,-8.695365,24.73737,8.643692,0.0062598847,-0.098415524,-0.1692211
0.0,-0.26201287,0.7444915,4.5809674,0.61277795,-0.2523347,-0.48591682,0.56983787,-8.521847,24.778341,8.516455,-0.031720307,0.06764072,0.00808835
0.0,-0.34723133,0.99227494,4.666132,0.6125334,-0.25219426,-0.48606095,0.57004,-8.35905,24.821041,8.39462,-0.083708815,0.21975084,0.058984842
0.0,-0.43082184,1.2404853,4.750078,0.6118347,-0.25159052,-0.48645994,0.5707164,-8.149155,24.903154,8.271739,-0.06369335,0.19878592,0.16733363
0.0,-0.51231337,1.4895169,4.8327956,0.6113794,-0.25066608,-0.48651,0.57156783,-7.805077,24.887648,8.097377,0.10897859,-0.18435337,0.44449723
0.0,-0.59036416,1.7383933,4.9137692,0.6126945,-0.24956831,-0.4848113,0.5720832,-7.506954,24.876476,7.939099,0.26089647,-0.49555647,0.7232124
0.0,-0.6654337,1.9871581,4.9931602,0.61553806,-0.24813524,-0.48154497,0.5724126,-7.3973885,24.914293,7.8407497,0.22388211,-0.42212462,0.79094076
0.0,-0.7394076,2.236301,5.0715675,0.6181699,-0.24636745,-0.47825477,0.5730981,-7.300884,24.888733,7.7352796,0.10683264,-0.15998271,0.9294088
0.0,-0.81241643,2.4851882,5.1489205,0.6199965,-0.24369502,-0.47522333,0.5747869,-7.141446,24.820528,7.6081324,0.27424383,-0.46994156,1.1312019
0.0,-0.8838309,2.7333934,5.225002,0.6232673,-0.24088249,-0.47084036,0.5760406,-7.1715055,24.64794,7.5088754,0.06934334,-0.17707202,1.0400796
